"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","8505","0.0-0.0","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","","","","","",""
"","","","","","instructions","1","16847","0.0-1.0","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","[{""page_index"":0,""viewing_time"":8341}]","8341","","","","",""
"","","","","","instructions","2","31131","0.0-2.0","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","[{""page_index"":0,""viewing_time"":14283}]","14283","","","","",""
"true","","","","","fullscreen","3","33147","0.0-3.0","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","1013","","","","",""
"","","","","","initialize-microphone","4","38354","0.0-4.0-0.0","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","","4f96ea192a788f7360814e9a563d3602a2e41369cc1277471c9f0a27851c5dac","","","",""
"","","","","","html-audio-response","5","59531","0.0-4.0-1.0","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","5162","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","16",""
"","","","","","html-button-response","6","60962","0.0-4.0-2.0","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","1430","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","72564","0.0-5.0","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","[{""page_index"":0,""viewing_time"":2768},{""page_index"":1,""viewing_time"":8834}]","11602","","","","",""
"","","","","","image-button-response","8","78572","0.0-6.0-0.0","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","83079","0.0-6.0-1.0-0.0","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","null","","images/instructions/movie_1.png","null","",""
"","","","","","image-button-response","10","86112","0.0-6.0-1.0-1.0","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","3032","","images/instructions/movie_1.png","0","",""
"","","","","","image-button-response","11","87919","0.0-6.0-1.0-2.0","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","null","","[]","null","",""
"","","","","","image-button-response","12","92426","0.0-6.0-1.0-0.1","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","null","","images/instructions/movie_2.png","null","",""
"","","","","","image-button-response","13","93246","0.0-6.0-1.0-1.1","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","818","","images/instructions/movie_2.png","0","",""
"","","","","","image-button-response","14","95053","0.0-6.0-1.0-2.1","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","null","","[]","null","",""
"","","","","","image-button-response","15","99557","0.0-6.0-1.0-0.2","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","null","","images/instructions/movie_3.png","null","",""
"","","","","","image-button-response","16","100912","0.0-6.0-1.0-1.2","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","1353","","images/instructions/movie_3.png","0","",""
"","","","","","image-button-response","17","102716","0.0-6.0-1.0-2.2","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","null","","[]","null","",""
"","","","","","image-button-response","18","107221","0.0-6.0-1.0-0.3","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","null","","images/instructions/movie_4.png","null","",""
"","","","","","image-button-response","19","107848","0.0-6.0-1.0-1.3","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","625","","images/instructions/movie_4.png","0","",""
"","","","","","image-button-response","20","109652","0.0-6.0-1.0-2.3","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","null","","[]","null","",""
"","","","","","instructions","21","125465","0.0-7.0","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","[{""page_index"":0,""viewing_time"":14760},{""page_index"":1,""viewing_time"":1052}]","15812","","","","",""
"","","","","","html-audio-response","22","163035","0.0-8.0","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","15087","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in the exact order you saw them. Try to recall as many images as you can, but remember: getting the order right is more important than the number of images you recall.</p>""]","","2",""
"","","","","","instructions","23","171816","0.0-9.0","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","[{""page_index"":0,""viewing_time"":8778}]","8778","","","","",""
"","","","","","image-button-response","24","177818","0.0-10.0-0.0","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","null","","images/schematic_sequence/hotel_scheme/hotel_scheme_0.png","null","",""
"","","","","","image-button-response","25","182324","0.0-10.0-1.0-0.0","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","null","","images/schematic_sequence/hotel_scheme/hotel_scheme_1.png","null","",""
"","","","","","image-button-response","26","184830","0.0-10.0-1.0-1.0","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","2504","","images/schematic_sequence/hotel_scheme/hotel_scheme_1.png","1","",""
"","","","","","image-button-response","27","186637","0.0-10.0-1.0-2.0","76A6A31DA16F423A8B9D9D63791511B2","76A6A31DA16F423A8B9D9D63791511B2","22ba9779-030f-4a3e-bde2-a74a5d82ebdc","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""76A6A31DA16F423A8B9D9D63791511B2"",""assignmentId"":""22ba9779-030f-4a3e-bde2-a74a5d82ebdc"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=76A6A31DA16F423A8B9D9D63791511B2&assignmentId=22ba9779-030f-4a3e-bde2-a74a5d82ebdc&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","76A6A31DA16F423A8B9D9D63791511B2-2025-05-22-19-53-49","","null","","[]","null","",""
