"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","5160","0.0-0.0","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","","","","","",""
"","","","","","instructions","1","102728","0.0-1.0","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","[{""page_index"":0,""viewing_time"":97568}]","97568","","","","",""
"","","","","","instructions","2","111224","0.0-2.0","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","[{""page_index"":0,""viewing_time"":8494}]","8494","","","","",""
"true","","","","","fullscreen","3","115225","0.0-3.0","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","2914","","","","",""
"","","","","","initialize-microphone","4","127062","0.0-4.0-0.0","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","","i9n7+HOrm3YrR0hPalT2y6y1vnAgfZ6rUwx3taWZyek=","","","",""
"","","","","","html-audio-response","5","156605","0.0-4.0-1.0","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","4131","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","6",""
"","","","","","html-button-response","6","159826","0.0-4.0-2.0","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","3220","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","0","",""
"","","","","","initialize-microphone","7","166530","0.0-4.1-0.1","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","","i9n7+HOrm3YrR0hPalT2y6y1vnAgfZ6rUwx3taWZyek=","","","",""
"","","","","","html-audio-response","8","170501","0.0-4.1-1.1","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","1438","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","4",""
"","","","","","html-button-response","9","171299","0.0-4.1-2.1","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","796","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","10","187471","0.0-5.0","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","[{""page_index"":0,""viewing_time"":10475},{""page_index"":1,""viewing_time"":5696}]","16171","","","","",""
"","","","","","image-button-response","11","193518","0.0-6.0-0.0","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","12","198057","0.0-6.0-1.0-0.0","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","null","","images/instructions/movie_1.png","null","",""
"","","","","","image-button-response","13","201854","0.0-6.0-1.0-1.0","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","3796","","images/instructions/movie_1.png","0","",""
"","","","","","image-button-response","14","203876","0.0-6.0-1.0-2.0","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","null","","[]","null","",""
"","","","","","image-button-response","15","208404","0.0-6.0-1.0-0.1","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","null","","images/instructions/movie_2.png","null","",""
"","","","","","image-button-response","16","210914","0.0-6.0-1.0-1.1","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","2508","","images/instructions/movie_2.png","1","",""
"","","","","","image-button-response","17","212725","0.0-6.0-1.0-2.1","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","null","","[]","null","",""
"","","","","","image-button-response","18","217255","0.0-6.0-1.0-0.2","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","null","","images/instructions/movie_3.png","null","",""
"","","","","","image-button-response","19","218681","0.0-6.0-1.0-1.2","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","1423","","images/instructions/movie_3.png","0","",""
"","","","","","image-button-response","20","220688","0.0-6.0-1.0-2.2","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","null","","[]","null","",""
"","","","","","image-button-response","21","225494","0.0-6.0-1.0-0.3","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","null","","images/instructions/movie_4.png","null","",""
"","","","","","image-button-response","22","226968","0.0-6.0-1.0-1.3","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","1474","","images/instructions/movie_4.png","0","",""
"","","","","","image-button-response","23","228770","0.0-6.0-1.0-2.3","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","null","","[]","null","",""
"","","","","","instructions","24","241607","0.0-7.0","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","[{""page_index"":0,""viewing_time"":10039},{""page_index"":1,""viewing_time"":2797}]","12836","","","","",""
"","","","","","html-audio-response","25","407716","0.0-8.0","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","","null","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in the exact order you saw them. Try to recall as many images as you can, but remember: getting the order right is more important than the number of images you recall.</p>""]","","2",""
"","","","","","instructions","26","412889","0.0-9.0","77D8BBD980704B8C82494AC3B8ECAF50","77D8BBD980704B8C82494AC3B8ECAF50","cc01f0a4-c006-44fb-bc86-12d4f6e8d491","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""77D8BBD980704B8C82494AC3B8ECAF50"",""assignmentId"":""cc01f0a4-c006-44fb-bc86-12d4f6e8d491"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=77D8BBD980704B8C82494AC3B8ECAF50&assignmentId=cc01f0a4-c006-44fb-bc86-12d4f6e8d491&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","77D8BBD980704B8C82494AC3B8ECAF50-2025-05-22-19-16-00","[{""page_index"":0,""viewing_time"":5167}]","5167","","","","",""
