"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","74495","0.0-0.0","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","","","","","",""
"","","","","","instructions","1","166423","0.0-1.0","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","[{""page_index"":0,""viewing_time"":91927}]","91928","","","","",""
"","","","","","instructions","2","175785","0.0-2.0","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","[{""page_index"":0,""viewing_time"":9361}]","9361","","","","",""
"true","","","","","fullscreen","3","179059","0.0-3.0","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","2268","","","","",""
"","","","","","initialize-microphone","4","187667","0.0-4.0-0.0","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","","ca6f2ca30f27aa1cd9d7e079248c03934ba79c0aed4aaea0b7d37ccf8c400016","","","",""
"","","","","","html-audio-response","5","202097","0.0-4.0-1.0","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","5491","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","3",""
"","","","","","html-button-response","6","203802","0.0-4.0-2.0","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","1703","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","217335","0.0-5.0","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","[{""page_index"":0,""viewing_time"":5791},{""page_index"":1,""viewing_time"":7742}]","13533","","","","",""
"","","","","","image-button-response","8","223345","0.0-6.0-0.0","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","227857","0.0-6.0-1.0-0.0","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","null","","images/instructions/movie_1.png","null","",""
"","","","","","image-button-response","10","230705","0.0-6.0-1.0-1.0","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","2846","","images/instructions/movie_1.png","0","",""
"","","","","","image-button-response","11","232520","0.0-6.0-1.0-2.0","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","null","","[]","null","",""
"","","","","","image-button-response","12","237030","0.0-6.0-1.0-0.1","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","null","","images/instructions/movie_2.png","null","",""
"","","","","","image-button-response","13","238631","0.0-6.0-1.0-1.1","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","1599","","images/instructions/movie_2.png","0","",""
"","","","","","image-button-response","14","240442","0.0-6.0-1.0-2.1","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","null","","[]","null","",""
"","","","","","image-button-response","15","244950","0.0-6.0-1.0-0.2","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","null","","images/instructions/movie_3.png","null","",""
"","","","","","image-button-response","16","246021","0.0-6.0-1.0-1.2","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","1069","","images/instructions/movie_3.png","0","",""
"","","","","","image-button-response","17","247823","0.0-6.0-1.0-2.2","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","null","","[]","null","",""
"","","","","","image-button-response","18","252330","0.0-6.0-1.0-0.3","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","null","","images/instructions/movie_4.png","null","",""
"","","","","","image-button-response","19","253623","0.0-6.0-1.0-1.3","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","1291","","images/instructions/movie_4.png","0","",""
"","","","","","image-button-response","20","255433","0.0-6.0-1.0-2.3","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","null","","[]","null","",""
"","","","","","instructions","21","267075","0.0-7.0","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","[{""page_index"":0,""viewing_time"":10646},{""page_index"":1,""viewing_time"":994}]","11641","","","","",""
"","","","","","html-audio-response","22","287299","0.0-8.0","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","9379","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, as many as you can remember. The images can be said in any order.</p>""]","","2",""
"","","","","","instructions","23","288959","0.0-9.0","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","[{""page_index"":0,""viewing_time"":1656}]","1656","","","","",""
"","","","","","image-button-response","24","294968","0.0-10.0-0.0","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","null","","images/semantic_sequence/cat_care_semantic/cat_care_semantic_0.png","null","",""
"","","","","","image-button-response","25","299479","0.0-10.0-1.0-0.0","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","null","","images/semantic_sequence/cat_care_semantic/cat_care_semantic_4.png","null","",""
"","","","","","image-button-response","26","303483","0.0-10.0-1.0-1.0","B3438ED0E2FF474C932749E7CA9F423D","B3438ED0E2FF474C932749E7CA9F423D","9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B3438ED0E2FF474C932749E7CA9F423D"",""assignmentId"":""9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B3438ED0E2FF474C932749E7CA9F423D&assignmentId=9b0a0774-b22c-4d5e-9cb7-1c2408afe8a5&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B3438ED0E2FF474C932749E7CA9F423D-2025-05-15-18-53-08","","null","","images/semantic_sequence/cat_care_semantic/cat_care_semantic_4.png","null","",""
