"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","11587","0.0-0.0","626CC3D0137A4648BAFDDC3CD29B6885","626CC3D0137A4648BAFDDC3CD29B6885","0198bef5-1895-7bc7-bc22-0563dafcf5ab","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""626CC3D0137A4648BAFDDC3CD29B6885"",""assignmentId"":""0198bef5-1895-7bc7-bc22-0563dafcf5ab"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=626CC3D0137A4648BAFDDC3CD29B6885&assignmentId=0198bef5-1895-7bc7-bc22-0563dafcf5ab&projectId=0198beef-981a-7243-9790-051e10551090","626CC3D0137A4648BAFDDC3CD29B6885-2025-08-18-21-03-42","","","","","","",""
"","","","","","instructions","1","30729","0.0-1.0","626CC3D0137A4648BAFDDC3CD29B6885","626CC3D0137A4648BAFDDC3CD29B6885","0198bef5-1895-7bc7-bc22-0563dafcf5ab","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""626CC3D0137A4648BAFDDC3CD29B6885"",""assignmentId"":""0198bef5-1895-7bc7-bc22-0563dafcf5ab"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=626CC3D0137A4648BAFDDC3CD29B6885&assignmentId=0198bef5-1895-7bc7-bc22-0563dafcf5ab&projectId=0198beef-981a-7243-9790-051e10551090","626CC3D0137A4648BAFDDC3CD29B6885-2025-08-18-21-03-42","[{""page_index"":0,""viewing_time"":19141}]","19142","","","","",""
"","","","","","instructions","2","51994","0.0-2.0","626CC3D0137A4648BAFDDC3CD29B6885","626CC3D0137A4648BAFDDC3CD29B6885","0198bef5-1895-7bc7-bc22-0563dafcf5ab","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""626CC3D0137A4648BAFDDC3CD29B6885"",""assignmentId"":""0198bef5-1895-7bc7-bc22-0563dafcf5ab"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=626CC3D0137A4648BAFDDC3CD29B6885&assignmentId=0198bef5-1895-7bc7-bc22-0563dafcf5ab&projectId=0198beef-981a-7243-9790-051e10551090","626CC3D0137A4648BAFDDC3CD29B6885-2025-08-18-21-03-42","[{""page_index"":0,""viewing_time"":21263}]","21264","","","","",""
"true","","","","","fullscreen","3","75278","0.0-3.0","626CC3D0137A4648BAFDDC3CD29B6885","626CC3D0137A4648BAFDDC3CD29B6885","0198bef5-1895-7bc7-bc22-0563dafcf5ab","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""626CC3D0137A4648BAFDDC3CD29B6885"",""assignmentId"":""0198bef5-1895-7bc7-bc22-0563dafcf5ab"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=626CC3D0137A4648BAFDDC3CD29B6885&assignmentId=0198bef5-1895-7bc7-bc22-0563dafcf5ab&projectId=0198beef-981a-7243-9790-051e10551090","626CC3D0137A4648BAFDDC3CD29B6885-2025-08-18-21-03-42","","22279","","","","",""
"","","","","","initialize-microphone","4","83207","0.0-4.0-0.0","626CC3D0137A4648BAFDDC3CD29B6885","626CC3D0137A4648BAFDDC3CD29B6885","0198bef5-1895-7bc7-bc22-0563dafcf5ab","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""626CC3D0137A4648BAFDDC3CD29B6885"",""assignmentId"":""0198bef5-1895-7bc7-bc22-0563dafcf5ab"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=626CC3D0137A4648BAFDDC3CD29B6885&assignmentId=0198bef5-1895-7bc7-bc22-0563dafcf5ab&projectId=0198beef-981a-7243-9790-051e10551090","626CC3D0137A4648BAFDDC3CD29B6885-2025-08-18-21-03-42","","","4192595810e8d6172034ff16fd16bbd2c1183c363df73f66e658d8dfb5ec9b38","","","",""
"","","","","","html-audio-response","5","100113","0.0-4.0-1.0","626CC3D0137A4648BAFDDC3CD29B6885","626CC3D0137A4648BAFDDC3CD29B6885","0198bef5-1895-7bc7-bc22-0563dafcf5ab","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""626CC3D0137A4648BAFDDC3CD29B6885"",""assignmentId"":""0198bef5-1895-7bc7-bc22-0563dafcf5ab"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=626CC3D0137A4648BAFDDC3CD29B6885&assignmentId=0198bef5-1895-7bc7-bc22-0563dafcf5ab&projectId=0198beef-981a-7243-9790-051e10551090","626CC3D0137A4648BAFDDC3CD29B6885-2025-08-18-21-03-42","","4974","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","8",""
"","","","","","html-button-response","6","102520","0.0-4.0-2.0","626CC3D0137A4648BAFDDC3CD29B6885","626CC3D0137A4648BAFDDC3CD29B6885","0198bef5-1895-7bc7-bc22-0563dafcf5ab","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""626CC3D0137A4648BAFDDC3CD29B6885"",""assignmentId"":""0198bef5-1895-7bc7-bc22-0563dafcf5ab"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=626CC3D0137A4648BAFDDC3CD29B6885&assignmentId=0198bef5-1895-7bc7-bc22-0563dafcf5ab&projectId=0198beef-981a-7243-9790-051e10551090","626CC3D0137A4648BAFDDC3CD29B6885-2025-08-18-21-03-42","","2406","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","126203","0.0-5.0","626CC3D0137A4648BAFDDC3CD29B6885","626CC3D0137A4648BAFDDC3CD29B6885","0198bef5-1895-7bc7-bc22-0563dafcf5ab","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""626CC3D0137A4648BAFDDC3CD29B6885"",""assignmentId"":""0198bef5-1895-7bc7-bc22-0563dafcf5ab"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=626CC3D0137A4648BAFDDC3CD29B6885&assignmentId=0198bef5-1895-7bc7-bc22-0563dafcf5ab&projectId=0198beef-981a-7243-9790-051e10551090","626CC3D0137A4648BAFDDC3CD29B6885-2025-08-18-21-03-42","[{""page_index"":0,""viewing_time"":1953},{""page_index"":1,""viewing_time"":8052},{""page_index"":2,""viewing_time"":13677}]","23682","","","","",""
"","","","","","image-button-response","8","132232","0.0-6.0-0.0","626CC3D0137A4648BAFDDC3CD29B6885","626CC3D0137A4648BAFDDC3CD29B6885","0198bef5-1895-7bc7-bc22-0563dafcf5ab","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""626CC3D0137A4648BAFDDC3CD29B6885"",""assignmentId"":""0198bef5-1895-7bc7-bc22-0563dafcf5ab"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=626CC3D0137A4648BAFDDC3CD29B6885&assignmentId=0198bef5-1895-7bc7-bc22-0563dafcf5ab&projectId=0198beef-981a-7243-9790-051e10551090","626CC3D0137A4648BAFDDC3CD29B6885-2025-08-18-21-03-42","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","164869","0.0-7.0","626CC3D0137A4648BAFDDC3CD29B6885","626CC3D0137A4648BAFDDC3CD29B6885","0198bef5-1895-7bc7-bc22-0563dafcf5ab","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""626CC3D0137A4648BAFDDC3CD29B6885"",""assignmentId"":""0198bef5-1895-7bc7-bc22-0563dafcf5ab"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=626CC3D0137A4648BAFDDC3CD29B6885&assignmentId=0198bef5-1895-7bc7-bc22-0563dafcf5ab&projectId=0198beef-981a-7243-9790-051e10551090","626CC3D0137A4648BAFDDC3CD29B6885-2025-08-18-21-03-42","","16387","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","2",""
"","","","","","instructions","10","167112","0.0-8.0","626CC3D0137A4648BAFDDC3CD29B6885","626CC3D0137A4648BAFDDC3CD29B6885","0198bef5-1895-7bc7-bc22-0563dafcf5ab","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""626CC3D0137A4648BAFDDC3CD29B6885"",""assignmentId"":""0198bef5-1895-7bc7-bc22-0563dafcf5ab"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=626CC3D0137A4648BAFDDC3CD29B6885&assignmentId=0198bef5-1895-7bc7-bc22-0563dafcf5ab&projectId=0198beef-981a-7243-9790-051e10551090","626CC3D0137A4648BAFDDC3CD29B6885-2025-08-18-21-03-42","[{""page_index"":0,""viewing_time"":2236}]","2236","","","","",""
"","","","","","image-button-response","11","173130","0.0-9.0-0.0","626CC3D0137A4648BAFDDC3CD29B6885","626CC3D0137A4648BAFDDC3CD29B6885","0198bef5-1895-7bc7-bc22-0563dafcf5ab","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""626CC3D0137A4648BAFDDC3CD29B6885"",""assignmentId"":""0198bef5-1895-7bc7-bc22-0563dafcf5ab"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=626CC3D0137A4648BAFDDC3CD29B6885&assignmentId=0198bef5-1895-7bc7-bc22-0563dafcf5ab&projectId=0198beef-981a-7243-9790-051e10551090","626CC3D0137A4648BAFDDC3CD29B6885-2025-08-18-21-03-42","","null","","images/causal_sequence/the_performance_causal/the_performance_causal_0.png","null","",""
"","","","","","html-audio-response","12","195431","0.0-10.0","626CC3D0137A4648BAFDDC3CD29B6885","626CC3D0137A4648BAFDDC3CD29B6885","0198bef5-1895-7bc7-bc22-0563dafcf5ab","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""626CC3D0137A4648BAFDDC3CD29B6885"",""assignmentId"":""0198bef5-1895-7bc7-bc22-0563dafcf5ab"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=626CC3D0137A4648BAFDDC3CD29B6885&assignmentId=0198bef5-1895-7bc7-bc22-0563dafcf5ab&projectId=0198beef-981a-7243-9790-051e10551090","626CC3D0137A4648BAFDDC3CD29B6885-2025-08-18-21-03-42","","10753","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","10","the_performance_causal"
