"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","5573","0.0-0.0","E2FFEB1271204705A1C94F3979498A2E","E2FFEB1271204705A1C94F3979498A2E","0198c047-6a8b-7235-97ca-d9ae410078b6","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""E2FFEB1271204705A1C94F3979498A2E"",""assignmentId"":""0198c047-6a8b-7235-97ca-d9ae410078b6"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=E2FFEB1271204705A1C94F3979498A2E&assignmentId=0198c047-6a8b-7235-97ca-d9ae410078b6&projectId=0198beef-981a-7243-9790-051e10551090","E2FFEB1271204705A1C94F3979498A2E-2025-08-19-03-10-36","","","","","","",""
"","","","","","instructions","1","21652","0.0-1.0","E2FFEB1271204705A1C94F3979498A2E","E2FFEB1271204705A1C94F3979498A2E","0198c047-6a8b-7235-97ca-d9ae410078b6","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""E2FFEB1271204705A1C94F3979498A2E"",""assignmentId"":""0198c047-6a8b-7235-97ca-d9ae410078b6"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=E2FFEB1271204705A1C94F3979498A2E&assignmentId=0198c047-6a8b-7235-97ca-d9ae410078b6&projectId=0198beef-981a-7243-9790-051e10551090","E2FFEB1271204705A1C94F3979498A2E-2025-08-19-03-10-36","[{""page_index"":0,""viewing_time"":16076}]","16077","","","","",""
"","","","","","instructions","2","24575","0.0-2.0","E2FFEB1271204705A1C94F3979498A2E","E2FFEB1271204705A1C94F3979498A2E","0198c047-6a8b-7235-97ca-d9ae410078b6","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""E2FFEB1271204705A1C94F3979498A2E"",""assignmentId"":""0198c047-6a8b-7235-97ca-d9ae410078b6"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=E2FFEB1271204705A1C94F3979498A2E&assignmentId=0198c047-6a8b-7235-97ca-d9ae410078b6&projectId=0198beef-981a-7243-9790-051e10551090","E2FFEB1271204705A1C94F3979498A2E-2025-08-19-03-10-36","[{""page_index"":0,""viewing_time"":2922}]","2922","","","","",""
"true","","","","","fullscreen","3","27847","0.0-3.0","E2FFEB1271204705A1C94F3979498A2E","E2FFEB1271204705A1C94F3979498A2E","0198c047-6a8b-7235-97ca-d9ae410078b6","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""E2FFEB1271204705A1C94F3979498A2E"",""assignmentId"":""0198c047-6a8b-7235-97ca-d9ae410078b6"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=E2FFEB1271204705A1C94F3979498A2E&assignmentId=0198c047-6a8b-7235-97ca-d9ae410078b6&projectId=0198beef-981a-7243-9790-051e10551090","E2FFEB1271204705A1C94F3979498A2E-2025-08-19-03-10-36","","2264","","","","",""
"","","","","","initialize-microphone","4","30416","0.0-4.0-0.0","E2FFEB1271204705A1C94F3979498A2E","E2FFEB1271204705A1C94F3979498A2E","0198c047-6a8b-7235-97ca-d9ae410078b6","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""E2FFEB1271204705A1C94F3979498A2E"",""assignmentId"":""0198c047-6a8b-7235-97ca-d9ae410078b6"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=E2FFEB1271204705A1C94F3979498A2E&assignmentId=0198c047-6a8b-7235-97ca-d9ae410078b6&projectId=0198beef-981a-7243-9790-051e10551090","E2FFEB1271204705A1C94F3979498A2E-2025-08-19-03-10-36","","","3f43d42e10475fa6d40a2411faaa6e934c81283e595048223fa99b5b1ef07e72","","","",""
"","","","","","html-audio-response","5","40414","0.0-4.0-1.0","E2FFEB1271204705A1C94F3979498A2E","E2FFEB1271204705A1C94F3979498A2E","0198c047-6a8b-7235-97ca-d9ae410078b6","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""E2FFEB1271204705A1C94F3979498A2E"",""assignmentId"":""0198c047-6a8b-7235-97ca-d9ae410078b6"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=E2FFEB1271204705A1C94F3979498A2E&assignmentId=0198c047-6a8b-7235-97ca-d9ae410078b6&projectId=0198beef-981a-7243-9790-051e10551090","E2FFEB1271204705A1C94F3979498A2E-2025-08-19-03-10-36","","4134","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","6",""
"","","","","","html-button-response","6","41675","0.0-4.0-2.0","E2FFEB1271204705A1C94F3979498A2E","E2FFEB1271204705A1C94F3979498A2E","0198c047-6a8b-7235-97ca-d9ae410078b6","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""E2FFEB1271204705A1C94F3979498A2E"",""assignmentId"":""0198c047-6a8b-7235-97ca-d9ae410078b6"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=E2FFEB1271204705A1C94F3979498A2E&assignmentId=0198c047-6a8b-7235-97ca-d9ae410078b6&projectId=0198beef-981a-7243-9790-051e10551090","E2FFEB1271204705A1C94F3979498A2E-2025-08-19-03-10-36","","1258","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","58053","0.0-5.0","E2FFEB1271204705A1C94F3979498A2E","E2FFEB1271204705A1C94F3979498A2E","0198c047-6a8b-7235-97ca-d9ae410078b6","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""E2FFEB1271204705A1C94F3979498A2E"",""assignmentId"":""0198c047-6a8b-7235-97ca-d9ae410078b6"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=E2FFEB1271204705A1C94F3979498A2E&assignmentId=0198c047-6a8b-7235-97ca-d9ae410078b6&projectId=0198beef-981a-7243-9790-051e10551090","E2FFEB1271204705A1C94F3979498A2E-2025-08-19-03-10-36","[{""page_index"":0,""viewing_time"":1192},{""page_index"":1,""viewing_time"":5388},{""page_index"":2,""viewing_time"":9798}]","16377","","","","",""
"","","","","","image-button-response","8","64060","0.0-6.0-0.0","E2FFEB1271204705A1C94F3979498A2E","E2FFEB1271204705A1C94F3979498A2E","0198c047-6a8b-7235-97ca-d9ae410078b6","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""E2FFEB1271204705A1C94F3979498A2E"",""assignmentId"":""0198c047-6a8b-7235-97ca-d9ae410078b6"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=E2FFEB1271204705A1C94F3979498A2E&assignmentId=0198c047-6a8b-7235-97ca-d9ae410078b6&projectId=0198beef-981a-7243-9790-051e10551090","E2FFEB1271204705A1C94F3979498A2E-2025-08-19-03-10-36","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","77033","0.0-7.0","E2FFEB1271204705A1C94F3979498A2E","E2FFEB1271204705A1C94F3979498A2E","0198c047-6a8b-7235-97ca-d9ae410078b6","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""E2FFEB1271204705A1C94F3979498A2E"",""assignmentId"":""0198c047-6a8b-7235-97ca-d9ae410078b6"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=E2FFEB1271204705A1C94F3979498A2E&assignmentId=0198c047-6a8b-7235-97ca-d9ae410078b6&projectId=0198beef-981a-7243-9790-051e10551090","E2FFEB1271204705A1C94F3979498A2E-2025-08-19-03-10-36","","11330","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","2",""
"","","","","","instructions","10","79126","0.0-8.0","E2FFEB1271204705A1C94F3979498A2E","E2FFEB1271204705A1C94F3979498A2E","0198c047-6a8b-7235-97ca-d9ae410078b6","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""E2FFEB1271204705A1C94F3979498A2E"",""assignmentId"":""0198c047-6a8b-7235-97ca-d9ae410078b6"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=E2FFEB1271204705A1C94F3979498A2E&assignmentId=0198c047-6a8b-7235-97ca-d9ae410078b6&projectId=0198beef-981a-7243-9790-051e10551090","E2FFEB1271204705A1C94F3979498A2E-2025-08-19-03-10-36","[{""page_index"":0,""viewing_time"":2089}]","2089","","","","",""
"","","","","","image-button-response","11","85134","0.0-9.0-0.0","E2FFEB1271204705A1C94F3979498A2E","E2FFEB1271204705A1C94F3979498A2E","0198c047-6a8b-7235-97ca-d9ae410078b6","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""E2FFEB1271204705A1C94F3979498A2E"",""assignmentId"":""0198c047-6a8b-7235-97ca-d9ae410078b6"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=E2FFEB1271204705A1C94F3979498A2E&assignmentId=0198c047-6a8b-7235-97ca-d9ae410078b6&projectId=0198beef-981a-7243-9790-051e10551090","E2FFEB1271204705A1C94F3979498A2E-2025-08-19-03-10-36","","null","","images/semantic_sequence/maintaining_a_car_semantic/maintaining_a_car_semantic_0.png","null","",""
"","","","","","html-audio-response","12","116223","0.0-10.0","E2FFEB1271204705A1C94F3979498A2E","E2FFEB1271204705A1C94F3979498A2E","0198c047-6a8b-7235-97ca-d9ae410078b6","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""E2FFEB1271204705A1C94F3979498A2E"",""assignmentId"":""0198c047-6a8b-7235-97ca-d9ae410078b6"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=E2FFEB1271204705A1C94F3979498A2E&assignmentId=0198c047-6a8b-7235-97ca-d9ae410078b6&projectId=0198beef-981a-7243-9790-051e10551090","E2FFEB1271204705A1C94F3979498A2E-2025-08-19-03-10-36","","28605","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","2","maintaining_a_car_semantic"
"","","","","","image-button-response","13","122237","0.0-11.0-0.0","E2FFEB1271204705A1C94F3979498A2E","E2FFEB1271204705A1C94F3979498A2E","0198c047-6a8b-7235-97ca-d9ae410078b6","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""E2FFEB1271204705A1C94F3979498A2E"",""assignmentId"":""0198c047-6a8b-7235-97ca-d9ae410078b6"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=E2FFEB1271204705A1C94F3979498A2E&assignmentId=0198c047-6a8b-7235-97ca-d9ae410078b6&projectId=0198beef-981a-7243-9790-051e10551090","E2FFEB1271204705A1C94F3979498A2E-2025-08-19-03-10-36","","null","","images/semantic_sequence/redecorating_semantic/redecorating_semantic_0.png","null","",""
"","","","","","html-audio-response","14","137614","0.0-12.0","E2FFEB1271204705A1C94F3979498A2E","E2FFEB1271204705A1C94F3979498A2E","0198c047-6a8b-7235-97ca-d9ae410078b6","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""E2FFEB1271204705A1C94F3979498A2E"",""assignmentId"":""0198c047-6a8b-7235-97ca-d9ae410078b6"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=E2FFEB1271204705A1C94F3979498A2E&assignmentId=0198c047-6a8b-7235-97ca-d9ae410078b6&projectId=0198beef-981a-7243-9790-051e10551090","E2FFEB1271204705A1C94F3979498A2E-2025-08-19-03-10-36","","14259","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","13","redecorating_semantic"
