"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","4","0.0-0.0","6006B41E2D5A46B6958A7D3B26E8193B","6006B41E2D5A46B6958A7D3B26E8193B","0198c3f4-1cd0-7b62-9fd1-3b6844171258","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""6006B41E2D5A46B6958A7D3B26E8193B"",""assignmentId"":""0198c3f4-1cd0-7b62-9fd1-3b6844171258"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=6006B41E2D5A46B6958A7D3B26E8193B&assignmentId=0198c3f4-1cd0-7b62-9fd1-3b6844171258&projectId=0198c3e5-90db-7030-b026-3fe33584d632","6006B41E2D5A46B6958A7D3B26E8193B-2025-08-19-20-19-25","","","","","","",""
"","","","","","instructions","1","919","0.0-1.0","6006B41E2D5A46B6958A7D3B26E8193B","6006B41E2D5A46B6958A7D3B26E8193B","0198c3f4-1cd0-7b62-9fd1-3b6844171258","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""6006B41E2D5A46B6958A7D3B26E8193B"",""assignmentId"":""0198c3f4-1cd0-7b62-9fd1-3b6844171258"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=6006B41E2D5A46B6958A7D3B26E8193B&assignmentId=0198c3f4-1cd0-7b62-9fd1-3b6844171258&projectId=0198c3e5-90db-7030-b026-3fe33584d632","6006B41E2D5A46B6958A7D3B26E8193B-2025-08-19-20-19-25","[{""page_index"":0,""viewing_time"":915}]","915","","","","",""
"","","","","","instructions","2","3104","0.0-2.0","6006B41E2D5A46B6958A7D3B26E8193B","6006B41E2D5A46B6958A7D3B26E8193B","0198c3f4-1cd0-7b62-9fd1-3b6844171258","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""6006B41E2D5A46B6958A7D3B26E8193B"",""assignmentId"":""0198c3f4-1cd0-7b62-9fd1-3b6844171258"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=6006B41E2D5A46B6958A7D3B26E8193B&assignmentId=0198c3f4-1cd0-7b62-9fd1-3b6844171258&projectId=0198c3e5-90db-7030-b026-3fe33584d632","6006B41E2D5A46B6958A7D3B26E8193B-2025-08-19-20-19-25","[{""page_index"":0,""viewing_time"":2185}]","2185","","","","",""
"true","","","","","fullscreen","3","5226","0.0-3.0","6006B41E2D5A46B6958A7D3B26E8193B","6006B41E2D5A46B6958A7D3B26E8193B","0198c3f4-1cd0-7b62-9fd1-3b6844171258","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""6006B41E2D5A46B6958A7D3B26E8193B"",""assignmentId"":""0198c3f4-1cd0-7b62-9fd1-3b6844171258"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=6006B41E2D5A46B6958A7D3B26E8193B&assignmentId=0198c3f4-1cd0-7b62-9fd1-3b6844171258&projectId=0198c3e5-90db-7030-b026-3fe33584d632","6006B41E2D5A46B6958A7D3B26E8193B-2025-08-19-20-19-25","","1121","","","","",""
"","","","","","initialize-microphone","4","7200","0.0-4.0-0.0","6006B41E2D5A46B6958A7D3B26E8193B","6006B41E2D5A46B6958A7D3B26E8193B","0198c3f4-1cd0-7b62-9fd1-3b6844171258","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""6006B41E2D5A46B6958A7D3B26E8193B"",""assignmentId"":""0198c3f4-1cd0-7b62-9fd1-3b6844171258"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=6006B41E2D5A46B6958A7D3B26E8193B&assignmentId=0198c3f4-1cd0-7b62-9fd1-3b6844171258&projectId=0198c3e5-90db-7030-b026-3fe33584d632","6006B41E2D5A46B6958A7D3B26E8193B-2025-08-19-20-19-25","","","6fa22634c398671cc9a8982231da5de1201e971ba6a8288851857562fed7e947","","","",""
"","","","","","html-audio-response","5","10489","0.0-4.0-1.0","6006B41E2D5A46B6958A7D3B26E8193B","6006B41E2D5A46B6958A7D3B26E8193B","0198c3f4-1cd0-7b62-9fd1-3b6844171258","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""6006B41E2D5A46B6958A7D3B26E8193B"",""assignmentId"":""0198c3f4-1cd0-7b62-9fd1-3b6844171258"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=6006B41E2D5A46B6958A7D3B26E8193B&assignmentId=0198c3f4-1cd0-7b62-9fd1-3b6844171258&projectId=0198c3e5-90db-7030-b026-3fe33584d632","6006B41E2D5A46B6958A7D3B26E8193B-2025-08-19-20-19-25","","1629","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","4",""
"","","","","","html-button-response","6","11734","0.0-4.0-2.0","6006B41E2D5A46B6958A7D3B26E8193B","6006B41E2D5A46B6958A7D3B26E8193B","0198c3f4-1cd0-7b62-9fd1-3b6844171258","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""6006B41E2D5A46B6958A7D3B26E8193B"",""assignmentId"":""0198c3f4-1cd0-7b62-9fd1-3b6844171258"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=6006B41E2D5A46B6958A7D3B26E8193B&assignmentId=0198c3f4-1cd0-7b62-9fd1-3b6844171258&projectId=0198c3e5-90db-7030-b026-3fe33584d632","6006B41E2D5A46B6958A7D3B26E8193B-2025-08-19-20-19-25","","1244","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","32755","0.0-5.0","6006B41E2D5A46B6958A7D3B26E8193B","6006B41E2D5A46B6958A7D3B26E8193B","0198c3f4-1cd0-7b62-9fd1-3b6844171258","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""6006B41E2D5A46B6958A7D3B26E8193B"",""assignmentId"":""0198c3f4-1cd0-7b62-9fd1-3b6844171258"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=6006B41E2D5A46B6958A7D3B26E8193B&assignmentId=0198c3f4-1cd0-7b62-9fd1-3b6844171258&projectId=0198c3e5-90db-7030-b026-3fe33584d632","6006B41E2D5A46B6958A7D3B26E8193B-2025-08-19-20-19-25","[{""page_index"":0,""viewing_time"":1172},{""page_index"":1,""viewing_time"":14114},{""page_index"":2,""viewing_time"":5734}]","21020","","","","",""
"","","","","","image-button-response","8","38759","0.0-6.0-0.0","6006B41E2D5A46B6958A7D3B26E8193B","6006B41E2D5A46B6958A7D3B26E8193B","0198c3f4-1cd0-7b62-9fd1-3b6844171258","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""6006B41E2D5A46B6958A7D3B26E8193B"",""assignmentId"":""0198c3f4-1cd0-7b62-9fd1-3b6844171258"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=6006B41E2D5A46B6958A7D3B26E8193B&assignmentId=0198c3f4-1cd0-7b62-9fd1-3b6844171258&projectId=0198c3e5-90db-7030-b026-3fe33584d632","6006B41E2D5A46B6958A7D3B26E8193B-2025-08-19-20-19-25","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","83871","0.0-7.0","6006B41E2D5A46B6958A7D3B26E8193B","6006B41E2D5A46B6958A7D3B26E8193B","0198c3f4-1cd0-7b62-9fd1-3b6844171258","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""6006B41E2D5A46B6958A7D3B26E8193B"",""assignmentId"":""0198c3f4-1cd0-7b62-9fd1-3b6844171258"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=6006B41E2D5A46B6958A7D3B26E8193B&assignmentId=0198c3f4-1cd0-7b62-9fd1-3b6844171258&projectId=0198c3e5-90db-7030-b026-3fe33584d632","6006B41E2D5A46B6958A7D3B26E8193B-2025-08-19-20-19-25","","14892","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","2",""
"","","","","","instructions","10","85719","0.0-8.0","6006B41E2D5A46B6958A7D3B26E8193B","6006B41E2D5A46B6958A7D3B26E8193B","0198c3f4-1cd0-7b62-9fd1-3b6844171258","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""6006B41E2D5A46B6958A7D3B26E8193B"",""assignmentId"":""0198c3f4-1cd0-7b62-9fd1-3b6844171258"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=6006B41E2D5A46B6958A7D3B26E8193B&assignmentId=0198c3f4-1cd0-7b62-9fd1-3b6844171258&projectId=0198c3e5-90db-7030-b026-3fe33584d632","6006B41E2D5A46B6958A7D3B26E8193B-2025-08-19-20-19-25","[{""page_index"":0,""viewing_time"":1846}]","1846","","","","",""
"","","","","","image-button-response","11","91734","0.0-9.0-0.0","6006B41E2D5A46B6958A7D3B26E8193B","6006B41E2D5A46B6958A7D3B26E8193B","0198c3f4-1cd0-7b62-9fd1-3b6844171258","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""6006B41E2D5A46B6958A7D3B26E8193B"",""assignmentId"":""0198c3f4-1cd0-7b62-9fd1-3b6844171258"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=6006B41E2D5A46B6958A7D3B26E8193B&assignmentId=0198c3f4-1cd0-7b62-9fd1-3b6844171258&projectId=0198c3e5-90db-7030-b026-3fe33584d632","6006B41E2D5A46B6958A7D3B26E8193B-2025-08-19-20-19-25","","null","","images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_0.png","null","",""
"","","","","","html-audio-response","12","177108","0.0-10.0","6006B41E2D5A46B6958A7D3B26E8193B","6006B41E2D5A46B6958A7D3B26E8193B","0198c3f4-1cd0-7b62-9fd1-3b6844171258","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""6006B41E2D5A46B6958A7D3B26E8193B"",""assignmentId"":""0198c3f4-1cd0-7b62-9fd1-3b6844171258"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=6006B41E2D5A46B6958A7D3B26E8193B&assignmentId=0198c3f4-1cd0-7b62-9fd1-3b6844171258&projectId=0198c3e5-90db-7030-b026-3fe33584d632","6006B41E2D5A46B6958A7D3B26E8193B-2025-08-19-20-19-25","","19403","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, following the storyline they create. Try to recall the sequence of events as they unfolded in the story, rather than the order in which they appeared on the screen.</p>""]","","1","saving_a_cat_causal"
"","","","","","image-button-response","13","183118","0.0-11.0-0.0","6006B41E2D5A46B6958A7D3B26E8193B","6006B41E2D5A46B6958A7D3B26E8193B","0198c3f4-1cd0-7b62-9fd1-3b6844171258","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""6006B41E2D5A46B6958A7D3B26E8193B"",""assignmentId"":""0198c3f4-1cd0-7b62-9fd1-3b6844171258"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=6006B41E2D5A46B6958A7D3B26E8193B&assignmentId=0198c3f4-1cd0-7b62-9fd1-3b6844171258&projectId=0198c3e5-90db-7030-b026-3fe33584d632","6006B41E2D5A46B6958A7D3B26E8193B-2025-08-19-20-19-25","","null","","images/semantic_sequence/using_technology_semantic/using_technology_semantic_0.png","null","",""
