"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","1518","0.0-0.0","8DB8AAE0ADE141ACAA8C487CC311A959","8DB8AAE0ADE141ACAA8C487CC311A959","0198c422-0de5-7b7f-acc5-14c5955cfc34","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8DB8AAE0ADE141ACAA8C487CC311A959"",""assignmentId"":""0198c422-0de5-7b7f-acc5-14c5955cfc34"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8DB8AAE0ADE141ACAA8C487CC311A959&assignmentId=0198c422-0de5-7b7f-acc5-14c5955cfc34&projectId=0198c3e5-90db-7030-b026-3fe33584d632","8DB8AAE0ADE141ACAA8C487CC311A959-2025-08-19-21-09-39","","","","","","",""
"","","","","","instructions","1","116709","0.0-1.0","8DB8AAE0ADE141ACAA8C487CC311A959","8DB8AAE0ADE141ACAA8C487CC311A959","0198c422-0de5-7b7f-acc5-14c5955cfc34","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8DB8AAE0ADE141ACAA8C487CC311A959"",""assignmentId"":""0198c422-0de5-7b7f-acc5-14c5955cfc34"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8DB8AAE0ADE141ACAA8C487CC311A959&assignmentId=0198c422-0de5-7b7f-acc5-14c5955cfc34&projectId=0198c3e5-90db-7030-b026-3fe33584d632","8DB8AAE0ADE141ACAA8C487CC311A959-2025-08-19-21-09-39","[{""page_index"":0,""viewing_time"":113753}]","113754","","","","",""
"","","","","","instructions","2","123048","0.0-2.0","8DB8AAE0ADE141ACAA8C487CC311A959","8DB8AAE0ADE141ACAA8C487CC311A959","0198c422-0de5-7b7f-acc5-14c5955cfc34","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8DB8AAE0ADE141ACAA8C487CC311A959"",""assignmentId"":""0198c422-0de5-7b7f-acc5-14c5955cfc34"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8DB8AAE0ADE141ACAA8C487CC311A959&assignmentId=0198c422-0de5-7b7f-acc5-14c5955cfc34&projectId=0198c3e5-90db-7030-b026-3fe33584d632","8DB8AAE0ADE141ACAA8C487CC311A959-2025-08-19-21-09-39","[{""page_index"":0,""viewing_time"":6257}]","6258","","","","",""
"true","","","","","fullscreen","3","125511","0.0-3.0","8DB8AAE0ADE141ACAA8C487CC311A959","8DB8AAE0ADE141ACAA8C487CC311A959","0198c422-0de5-7b7f-acc5-14c5955cfc34","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8DB8AAE0ADE141ACAA8C487CC311A959"",""assignmentId"":""0198c422-0de5-7b7f-acc5-14c5955cfc34"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8DB8AAE0ADE141ACAA8C487CC311A959&assignmentId=0198c422-0de5-7b7f-acc5-14c5955cfc34&projectId=0198c3e5-90db-7030-b026-3fe33584d632","8DB8AAE0ADE141ACAA8C487CC311A959-2025-08-19-21-09-39","","1447","","","","",""
"","","","","","initialize-microphone","4","132429","0.0-4.0-0.0","8DB8AAE0ADE141ACAA8C487CC311A959","8DB8AAE0ADE141ACAA8C487CC311A959","0198c422-0de5-7b7f-acc5-14c5955cfc34","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8DB8AAE0ADE141ACAA8C487CC311A959"",""assignmentId"":""0198c422-0de5-7b7f-acc5-14c5955cfc34"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8DB8AAE0ADE141ACAA8C487CC311A959&assignmentId=0198c422-0de5-7b7f-acc5-14c5955cfc34&projectId=0198c3e5-90db-7030-b026-3fe33584d632","8DB8AAE0ADE141ACAA8C487CC311A959-2025-08-19-21-09-39","","","163051a137756bbda7c04b77bf2b070911132d54993ad20c6d7cf12edfa77920","","","",""
"","","","","","html-audio-response","5","140758","0.0-4.0-1.0","8DB8AAE0ADE141ACAA8C487CC311A959","8DB8AAE0ADE141ACAA8C487CC311A959","0198c422-0de5-7b7f-acc5-14c5955cfc34","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8DB8AAE0ADE141ACAA8C487CC311A959"",""assignmentId"":""0198c422-0de5-7b7f-acc5-14c5955cfc34"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8DB8AAE0ADE141ACAA8C487CC311A959&assignmentId=0198c422-0de5-7b7f-acc5-14c5955cfc34&projectId=0198c3e5-90db-7030-b026-3fe33584d632","8DB8AAE0ADE141ACAA8C487CC311A959-2025-08-19-21-09-39","","2931","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","7",""
"","","","","","html-button-response","6","142701","0.0-4.0-2.0","8DB8AAE0ADE141ACAA8C487CC311A959","8DB8AAE0ADE141ACAA8C487CC311A959","0198c422-0de5-7b7f-acc5-14c5955cfc34","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8DB8AAE0ADE141ACAA8C487CC311A959"",""assignmentId"":""0198c422-0de5-7b7f-acc5-14c5955cfc34"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8DB8AAE0ADE141ACAA8C487CC311A959&assignmentId=0198c422-0de5-7b7f-acc5-14c5955cfc34&projectId=0198c3e5-90db-7030-b026-3fe33584d632","8DB8AAE0ADE141ACAA8C487CC311A959-2025-08-19-21-09-39","","1935","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","162453","0.0-5.0","8DB8AAE0ADE141ACAA8C487CC311A959","8DB8AAE0ADE141ACAA8C487CC311A959","0198c422-0de5-7b7f-acc5-14c5955cfc34","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8DB8AAE0ADE141ACAA8C487CC311A959"",""assignmentId"":""0198c422-0de5-7b7f-acc5-14c5955cfc34"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8DB8AAE0ADE141ACAA8C487CC311A959&assignmentId=0198c422-0de5-7b7f-acc5-14c5955cfc34&projectId=0198c3e5-90db-7030-b026-3fe33584d632","8DB8AAE0ADE141ACAA8C487CC311A959-2025-08-19-21-09-39","[{""page_index"":0,""viewing_time"":1262},{""page_index"":1,""viewing_time"":1170},{""page_index"":2,""viewing_time"":17318}]","19750","","","","",""
"","","","","","image-button-response","8","168475","0.0-6.0-0.0","8DB8AAE0ADE141ACAA8C487CC311A959","8DB8AAE0ADE141ACAA8C487CC311A959","0198c422-0de5-7b7f-acc5-14c5955cfc34","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8DB8AAE0ADE141ACAA8C487CC311A959"",""assignmentId"":""0198c422-0de5-7b7f-acc5-14c5955cfc34"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8DB8AAE0ADE141ACAA8C487CC311A959&assignmentId=0198c422-0de5-7b7f-acc5-14c5955cfc34&projectId=0198c3e5-90db-7030-b026-3fe33584d632","8DB8AAE0ADE141ACAA8C487CC311A959-2025-08-19-21-09-39","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","215246","0.0-7.0","8DB8AAE0ADE141ACAA8C487CC311A959","8DB8AAE0ADE141ACAA8C487CC311A959","0198c422-0de5-7b7f-acc5-14c5955cfc34","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8DB8AAE0ADE141ACAA8C487CC311A959"",""assignmentId"":""0198c422-0de5-7b7f-acc5-14c5955cfc34"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8DB8AAE0ADE141ACAA8C487CC311A959&assignmentId=0198c422-0de5-7b7f-acc5-14c5955cfc34&projectId=0198c3e5-90db-7030-b026-3fe33584d632","8DB8AAE0ADE141ACAA8C487CC311A959-2025-08-19-21-09-39","","11586","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","2",""
"","","","","","instructions","10","217113","0.0-8.0","8DB8AAE0ADE141ACAA8C487CC311A959","8DB8AAE0ADE141ACAA8C487CC311A959","0198c422-0de5-7b7f-acc5-14c5955cfc34","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8DB8AAE0ADE141ACAA8C487CC311A959"",""assignmentId"":""0198c422-0de5-7b7f-acc5-14c5955cfc34"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8DB8AAE0ADE141ACAA8C487CC311A959&assignmentId=0198c422-0de5-7b7f-acc5-14c5955cfc34&projectId=0198c3e5-90db-7030-b026-3fe33584d632","8DB8AAE0ADE141ACAA8C487CC311A959-2025-08-19-21-09-39","[{""page_index"":0,""viewing_time"":1860}]","1860","","","","",""
"","","","","","image-button-response","11","223119","0.0-9.0-0.0","8DB8AAE0ADE141ACAA8C487CC311A959","8DB8AAE0ADE141ACAA8C487CC311A959","0198c422-0de5-7b7f-acc5-14c5955cfc34","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8DB8AAE0ADE141ACAA8C487CC311A959"",""assignmentId"":""0198c422-0de5-7b7f-acc5-14c5955cfc34"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8DB8AAE0ADE141ACAA8C487CC311A959&assignmentId=0198c422-0de5-7b7f-acc5-14c5955cfc34&projectId=0198c3e5-90db-7030-b026-3fe33584d632","8DB8AAE0ADE141ACAA8C487CC311A959-2025-08-19-21-09-39","","null","","images/semantic_sequence/maintaining_a_car_semantic/maintaining_a_car_semantic_0.png","null","",""
"","","","","","html-audio-response","12","249118","0.0-10.0","8DB8AAE0ADE141ACAA8C487CC311A959","8DB8AAE0ADE141ACAA8C487CC311A959","0198c422-0de5-7b7f-acc5-14c5955cfc34","0198c3e5-90db-7030-b026-3fe33584d632","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8DB8AAE0ADE141ACAA8C487CC311A959"",""assignmentId"":""0198c422-0de5-7b7f-acc5-14c5955cfc34"",""projectId"":""0198c3e5-90db-7030-b026-3fe33584d632""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8DB8AAE0ADE141ACAA8C487CC311A959&assignmentId=0198c422-0de5-7b7f-acc5-14c5955cfc34&projectId=0198c3e5-90db-7030-b026-3fe33584d632","8DB8AAE0ADE141ACAA8C487CC311A959-2025-08-19-21-09-39","","24964","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, following the storyline they create. Try to recall the sequence of events as they unfolded in the story, rather than the order in which they appeared on the screen.</p>""]","","2","maintaining_a_car_semantic"
