"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","5307","0.0-0.0","AC5E561FBF444BC3BB0A5F98E80354CA","AC5E561FBF444BC3BB0A5F98E80354CA","0198f378-65a0-72e0-ab64-e3ee64f25a4c","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""AC5E561FBF444BC3BB0A5F98E80354CA"",""assignmentId"":""0198f378-65a0-72e0-ab64-e3ee64f25a4c"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=AC5E561FBF444BC3BB0A5F98E80354CA&assignmentId=0198f378-65a0-72e0-ab64-e3ee64f25a4c&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","AC5E561FBF444BC3BB0A5F98E80354CA-2025-08-29-01-50-30","","","","","","",""
"","","","","","instructions","1","20519","0.0-1.0","AC5E561FBF444BC3BB0A5F98E80354CA","AC5E561FBF444BC3BB0A5F98E80354CA","0198f378-65a0-72e0-ab64-e3ee64f25a4c","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""AC5E561FBF444BC3BB0A5F98E80354CA"",""assignmentId"":""0198f378-65a0-72e0-ab64-e3ee64f25a4c"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=AC5E561FBF444BC3BB0A5F98E80354CA&assignmentId=0198f378-65a0-72e0-ab64-e3ee64f25a4c&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","AC5E561FBF444BC3BB0A5F98E80354CA-2025-08-29-01-50-30","[{""page_index"":0,""viewing_time"":15210}]","15211","","","","",""
"","","","","","instructions","2","34116","0.0-2.0","AC5E561FBF444BC3BB0A5F98E80354CA","AC5E561FBF444BC3BB0A5F98E80354CA","0198f378-65a0-72e0-ab64-e3ee64f25a4c","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""AC5E561FBF444BC3BB0A5F98E80354CA"",""assignmentId"":""0198f378-65a0-72e0-ab64-e3ee64f25a4c"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=AC5E561FBF444BC3BB0A5F98E80354CA&assignmentId=0198f378-65a0-72e0-ab64-e3ee64f25a4c&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","AC5E561FBF444BC3BB0A5F98E80354CA-2025-08-29-01-50-30","[{""page_index"":0,""viewing_time"":13590}]","13591","","","","",""
"true","","","","","fullscreen","3","38865","0.0-3.0","AC5E561FBF444BC3BB0A5F98E80354CA","AC5E561FBF444BC3BB0A5F98E80354CA","0198f378-65a0-72e0-ab64-e3ee64f25a4c","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""AC5E561FBF444BC3BB0A5F98E80354CA"",""assignmentId"":""0198f378-65a0-72e0-ab64-e3ee64f25a4c"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=AC5E561FBF444BC3BB0A5F98E80354CA&assignmentId=0198f378-65a0-72e0-ab64-e3ee64f25a4c&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","AC5E561FBF444BC3BB0A5F98E80354CA-2025-08-29-01-50-30","","3739","","","","",""
"","","","","","initialize-microphone","4","47678","0.0-4.0-0.0","AC5E561FBF444BC3BB0A5F98E80354CA","AC5E561FBF444BC3BB0A5F98E80354CA","0198f378-65a0-72e0-ab64-e3ee64f25a4c","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""AC5E561FBF444BC3BB0A5F98E80354CA"",""assignmentId"":""0198f378-65a0-72e0-ab64-e3ee64f25a4c"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=AC5E561FBF444BC3BB0A5F98E80354CA&assignmentId=0198f378-65a0-72e0-ab64-e3ee64f25a4c&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","AC5E561FBF444BC3BB0A5F98E80354CA-2025-08-29-01-50-30","","","uTMNF0s3yK8b+mG3P3LItdiRcDPaS+Erc7/Ar+Yr+cg=","","","",""
"","","","","","html-audio-response","5","67173","0.0-4.0-1.0","AC5E561FBF444BC3BB0A5F98E80354CA","AC5E561FBF444BC3BB0A5F98E80354CA","0198f378-65a0-72e0-ab64-e3ee64f25a4c","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""AC5E561FBF444BC3BB0A5F98E80354CA"",""assignmentId"":""0198f378-65a0-72e0-ab64-e3ee64f25a4c"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=AC5E561FBF444BC3BB0A5F98E80354CA&assignmentId=0198f378-65a0-72e0-ab64-e3ee64f25a4c&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","AC5E561FBF444BC3BB0A5F98E80354CA-2025-08-29-01-50-30","","4058","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","4",""
"","","","","","html-button-response","6","70678","0.0-4.0-2.0","AC5E561FBF444BC3BB0A5F98E80354CA","AC5E561FBF444BC3BB0A5F98E80354CA","0198f378-65a0-72e0-ab64-e3ee64f25a4c","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""AC5E561FBF444BC3BB0A5F98E80354CA"",""assignmentId"":""0198f378-65a0-72e0-ab64-e3ee64f25a4c"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=AC5E561FBF444BC3BB0A5F98E80354CA&assignmentId=0198f378-65a0-72e0-ab64-e3ee64f25a4c&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","AC5E561FBF444BC3BB0A5F98E80354CA-2025-08-29-01-50-30","","3497","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","120184","0.0-5.0","AC5E561FBF444BC3BB0A5F98E80354CA","AC5E561FBF444BC3BB0A5F98E80354CA","0198f378-65a0-72e0-ab64-e3ee64f25a4c","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""AC5E561FBF444BC3BB0A5F98E80354CA"",""assignmentId"":""0198f378-65a0-72e0-ab64-e3ee64f25a4c"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=AC5E561FBF444BC3BB0A5F98E80354CA&assignmentId=0198f378-65a0-72e0-ab64-e3ee64f25a4c&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","AC5E561FBF444BC3BB0A5F98E80354CA-2025-08-29-01-50-30","[{""page_index"":0,""viewing_time"":2688},{""page_index"":1,""viewing_time"":40191},{""page_index"":2,""viewing_time"":6622}]","49502","","","","",""
"","","","","","image-button-response","8","126207","0.0-6.0-0.0","AC5E561FBF444BC3BB0A5F98E80354CA","AC5E561FBF444BC3BB0A5F98E80354CA","0198f378-65a0-72e0-ab64-e3ee64f25a4c","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""AC5E561FBF444BC3BB0A5F98E80354CA"",""assignmentId"":""0198f378-65a0-72e0-ab64-e3ee64f25a4c"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=AC5E561FBF444BC3BB0A5F98E80354CA&assignmentId=0198f378-65a0-72e0-ab64-e3ee64f25a4c&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","AC5E561FBF444BC3BB0A5F98E80354CA-2025-08-29-01-50-30","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","158877","0.0-7.0","AC5E561FBF444BC3BB0A5F98E80354CA","AC5E561FBF444BC3BB0A5F98E80354CA","0198f378-65a0-72e0-ab64-e3ee64f25a4c","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""AC5E561FBF444BC3BB0A5F98E80354CA"",""assignmentId"":""0198f378-65a0-72e0-ab64-e3ee64f25a4c"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=AC5E561FBF444BC3BB0A5F98E80354CA&assignmentId=0198f378-65a0-72e0-ab64-e3ee64f25a4c&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","AC5E561FBF444BC3BB0A5F98E80354CA-2025-08-29-01-50-30","","15772","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, in the order of the story they create. Try to recall the sequence of events as they appeared in the story, not necessarily the order they were presented on the screen.</p>""]","","6",""
