"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","4606","0.0-0.0","3341F1296A454766A8E3BC48D7B5E50E","3341F1296A454766A8E3BC48D7B5E50E","0198bffc-b76d-7438-a84c-8ce9a44d83fc","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""3341F1296A454766A8E3BC48D7B5E50E"",""assignmentId"":""0198bffc-b76d-7438-a84c-8ce9a44d83fc"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=3341F1296A454766A8E3BC48D7B5E50E&assignmentId=0198bffc-b76d-7438-a84c-8ce9a44d83fc&projectId=0198beef-981a-7243-9790-051e10551090","3341F1296A454766A8E3BC48D7B5E50E-2025-08-19-02-00-08","","","","","","",""
"","","","","","instructions","1","513902","0.0-1.0","3341F1296A454766A8E3BC48D7B5E50E","3341F1296A454766A8E3BC48D7B5E50E","0198bffc-b76d-7438-a84c-8ce9a44d83fc","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""3341F1296A454766A8E3BC48D7B5E50E"",""assignmentId"":""0198bffc-b76d-7438-a84c-8ce9a44d83fc"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=3341F1296A454766A8E3BC48D7B5E50E&assignmentId=0198bffc-b76d-7438-a84c-8ce9a44d83fc&projectId=0198beef-981a-7243-9790-051e10551090","3341F1296A454766A8E3BC48D7B5E50E-2025-08-19-02-00-08","[{""page_index"":0,""viewing_time"":509292}]","509292","","","","",""
"","","","","","instructions","2","524205","0.0-2.0","3341F1296A454766A8E3BC48D7B5E50E","3341F1296A454766A8E3BC48D7B5E50E","0198bffc-b76d-7438-a84c-8ce9a44d83fc","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""3341F1296A454766A8E3BC48D7B5E50E"",""assignmentId"":""0198bffc-b76d-7438-a84c-8ce9a44d83fc"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=3341F1296A454766A8E3BC48D7B5E50E&assignmentId=0198bffc-b76d-7438-a84c-8ce9a44d83fc&projectId=0198beef-981a-7243-9790-051e10551090","3341F1296A454766A8E3BC48D7B5E50E-2025-08-19-02-00-08","[{""page_index"":0,""viewing_time"":10303}]","10303","","","","",""
"true","","","","","fullscreen","3","527382","0.0-3.0","3341F1296A454766A8E3BC48D7B5E50E","3341F1296A454766A8E3BC48D7B5E50E","0198bffc-b76d-7438-a84c-8ce9a44d83fc","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""3341F1296A454766A8E3BC48D7B5E50E"",""assignmentId"":""0198bffc-b76d-7438-a84c-8ce9a44d83fc"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=3341F1296A454766A8E3BC48D7B5E50E&assignmentId=0198bffc-b76d-7438-a84c-8ce9a44d83fc&projectId=0198beef-981a-7243-9790-051e10551090","3341F1296A454766A8E3BC48D7B5E50E-2025-08-19-02-00-08","","2175","","","","",""
"","","","","","initialize-microphone","4","545789","0.0-4.0-0.0","3341F1296A454766A8E3BC48D7B5E50E","3341F1296A454766A8E3BC48D7B5E50E","0198bffc-b76d-7438-a84c-8ce9a44d83fc","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""3341F1296A454766A8E3BC48D7B5E50E"",""assignmentId"":""0198bffc-b76d-7438-a84c-8ce9a44d83fc"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=3341F1296A454766A8E3BC48D7B5E50E&assignmentId=0198bffc-b76d-7438-a84c-8ce9a44d83fc&projectId=0198beef-981a-7243-9790-051e10551090","3341F1296A454766A8E3BC48D7B5E50E-2025-08-19-02-00-08","","","5930f6bfee27d428172c294ed3606397a6d2cae28eec376b457f32389b69e7b9","","","",""
"","","","","","html-audio-response","5","581807","0.0-4.0-1.0","3341F1296A454766A8E3BC48D7B5E50E","3341F1296A454766A8E3BC48D7B5E50E","0198bffc-b76d-7438-a84c-8ce9a44d83fc","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""3341F1296A454766A8E3BC48D7B5E50E"",""assignmentId"":""0198bffc-b76d-7438-a84c-8ce9a44d83fc"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=3341F1296A454766A8E3BC48D7B5E50E&assignmentId=0198bffc-b76d-7438-a84c-8ce9a44d83fc&projectId=0198beef-981a-7243-9790-051e10551090","3341F1296A454766A8E3BC48D7B5E50E-2025-08-19-02-00-08","","2927","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","4",""
"","","","","","html-button-response","6","583621","0.0-4.0-2.0","3341F1296A454766A8E3BC48D7B5E50E","3341F1296A454766A8E3BC48D7B5E50E","0198bffc-b76d-7438-a84c-8ce9a44d83fc","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""3341F1296A454766A8E3BC48D7B5E50E"",""assignmentId"":""0198bffc-b76d-7438-a84c-8ce9a44d83fc"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=3341F1296A454766A8E3BC48D7B5E50E&assignmentId=0198bffc-b76d-7438-a84c-8ce9a44d83fc&projectId=0198beef-981a-7243-9790-051e10551090","3341F1296A454766A8E3BC48D7B5E50E-2025-08-19-02-00-08","","1813","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","600781","0.0-5.0","3341F1296A454766A8E3BC48D7B5E50E","3341F1296A454766A8E3BC48D7B5E50E","0198bffc-b76d-7438-a84c-8ce9a44d83fc","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""3341F1296A454766A8E3BC48D7B5E50E"",""assignmentId"":""0198bffc-b76d-7438-a84c-8ce9a44d83fc"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=3341F1296A454766A8E3BC48D7B5E50E&assignmentId=0198bffc-b76d-7438-a84c-8ce9a44d83fc&projectId=0198beef-981a-7243-9790-051e10551090","3341F1296A454766A8E3BC48D7B5E50E-2025-08-19-02-00-08","[{""page_index"":0,""viewing_time"":2167},{""page_index"":1,""viewing_time"":7416},{""page_index"":2,""viewing_time"":7576}]","17159","","","","",""
"","","","","","image-button-response","8","606786","0.0-6.0-0.0","3341F1296A454766A8E3BC48D7B5E50E","3341F1296A454766A8E3BC48D7B5E50E","0198bffc-b76d-7438-a84c-8ce9a44d83fc","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""3341F1296A454766A8E3BC48D7B5E50E"",""assignmentId"":""0198bffc-b76d-7438-a84c-8ce9a44d83fc"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=3341F1296A454766A8E3BC48D7B5E50E&assignmentId=0198bffc-b76d-7438-a84c-8ce9a44d83fc&projectId=0198beef-981a-7243-9790-051e10551090","3341F1296A454766A8E3BC48D7B5E50E-2025-08-19-02-00-08","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","617077","0.0-7.0","3341F1296A454766A8E3BC48D7B5E50E","3341F1296A454766A8E3BC48D7B5E50E","0198bffc-b76d-7438-a84c-8ce9a44d83fc","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""3341F1296A454766A8E3BC48D7B5E50E"",""assignmentId"":""0198bffc-b76d-7438-a84c-8ce9a44d83fc"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=3341F1296A454766A8E3BC48D7B5E50E&assignmentId=0198bffc-b76d-7438-a84c-8ce9a44d83fc&projectId=0198beef-981a-7243-9790-051e10551090","3341F1296A454766A8E3BC48D7B5E50E-2025-08-19-02-00-08","","5410","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","3",""
"","","","","","instructions","10","619861","0.0-8.0","3341F1296A454766A8E3BC48D7B5E50E","3341F1296A454766A8E3BC48D7B5E50E","0198bffc-b76d-7438-a84c-8ce9a44d83fc","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""3341F1296A454766A8E3BC48D7B5E50E"",""assignmentId"":""0198bffc-b76d-7438-a84c-8ce9a44d83fc"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=3341F1296A454766A8E3BC48D7B5E50E&assignmentId=0198bffc-b76d-7438-a84c-8ce9a44d83fc&projectId=0198beef-981a-7243-9790-051e10551090","3341F1296A454766A8E3BC48D7B5E50E-2025-08-19-02-00-08","[{""page_index"":0,""viewing_time"":2782}]","2783","","","","",""
"","","","","","image-button-response","11","625870","0.0-9.0-0.0","3341F1296A454766A8E3BC48D7B5E50E","3341F1296A454766A8E3BC48D7B5E50E","0198bffc-b76d-7438-a84c-8ce9a44d83fc","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""3341F1296A454766A8E3BC48D7B5E50E"",""assignmentId"":""0198bffc-b76d-7438-a84c-8ce9a44d83fc"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=3341F1296A454766A8E3BC48D7B5E50E&assignmentId=0198bffc-b76d-7438-a84c-8ce9a44d83fc&projectId=0198beef-981a-7243-9790-051e10551090","3341F1296A454766A8E3BC48D7B5E50E-2025-08-19-02-00-08","","null","","images/causal_sequence/package_causal/package_causal_0.png","null","",""
"","","","","","html-audio-response","12","656453","0.0-10.0","3341F1296A454766A8E3BC48D7B5E50E","3341F1296A454766A8E3BC48D7B5E50E","0198bffc-b76d-7438-a84c-8ce9a44d83fc","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""3341F1296A454766A8E3BC48D7B5E50E"",""assignmentId"":""0198bffc-b76d-7438-a84c-8ce9a44d83fc"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=3341F1296A454766A8E3BC48D7B5E50E&assignmentId=0198bffc-b76d-7438-a84c-8ce9a44d83fc&projectId=0198beef-981a-7243-9790-051e10551090","3341F1296A454766A8E3BC48D7B5E50E-2025-08-19-02-00-08","","7997","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","2","package_causal"
"","","","","","image-button-response","13","662457","0.0-11.0-0.0","3341F1296A454766A8E3BC48D7B5E50E","3341F1296A454766A8E3BC48D7B5E50E","0198bffc-b76d-7438-a84c-8ce9a44d83fc","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""3341F1296A454766A8E3BC48D7B5E50E"",""assignmentId"":""0198bffc-b76d-7438-a84c-8ce9a44d83fc"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=3341F1296A454766A8E3BC48D7B5E50E&assignmentId=0198bffc-b76d-7438-a84c-8ce9a44d83fc&projectId=0198beef-981a-7243-9790-051e10551090","3341F1296A454766A8E3BC48D7B5E50E-2025-08-19-02-00-08","","null","","images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_0.png","null","",""
"","","","","","html-audio-response","14","681781","0.0-12.0","3341F1296A454766A8E3BC48D7B5E50E","3341F1296A454766A8E3BC48D7B5E50E","0198bffc-b76d-7438-a84c-8ce9a44d83fc","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""3341F1296A454766A8E3BC48D7B5E50E"",""assignmentId"":""0198bffc-b76d-7438-a84c-8ce9a44d83fc"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=3341F1296A454766A8E3BC48D7B5E50E&assignmentId=0198bffc-b76d-7438-a84c-8ce9a44d83fc&projectId=0198beef-981a-7243-9790-051e10551090","3341F1296A454766A8E3BC48D7B5E50E-2025-08-19-02-00-08","","18562","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","5","physical_activity_semantic"
"","","","","","image-button-response","15","687785","0.0-13.0-0.0","3341F1296A454766A8E3BC48D7B5E50E","3341F1296A454766A8E3BC48D7B5E50E","0198bffc-b76d-7438-a84c-8ce9a44d83fc","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""3341F1296A454766A8E3BC48D7B5E50E"",""assignmentId"":""0198bffc-b76d-7438-a84c-8ce9a44d83fc"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=3341F1296A454766A8E3BC48D7B5E50E&assignmentId=0198bffc-b76d-7438-a84c-8ce9a44d83fc&projectId=0198beef-981a-7243-9790-051e10551090","3341F1296A454766A8E3BC48D7B5E50E-2025-08-19-02-00-08","","null","","images/causal_sequence/coin_causal/coin_causal_0.png","null","",""
"","","","","","html-audio-response","16","720813","0.0-14.0","3341F1296A454766A8E3BC48D7B5E50E","3341F1296A454766A8E3BC48D7B5E50E","0198bffc-b76d-7438-a84c-8ce9a44d83fc","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""3341F1296A454766A8E3BC48D7B5E50E"",""assignmentId"":""0198bffc-b76d-7438-a84c-8ce9a44d83fc"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=3341F1296A454766A8E3BC48D7B5E50E&assignmentId=0198bffc-b76d-7438-a84c-8ce9a44d83fc&projectId=0198beef-981a-7243-9790-051e10551090","3341F1296A454766A8E3BC48D7B5E50E-2025-08-19-02-00-08","","32202","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","3","coin_causal"
"","","","","","image-button-response","17","726819","0.0-15.0-0.0","3341F1296A454766A8E3BC48D7B5E50E","3341F1296A454766A8E3BC48D7B5E50E","0198bffc-b76d-7438-a84c-8ce9a44d83fc","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""3341F1296A454766A8E3BC48D7B5E50E"",""assignmentId"":""0198bffc-b76d-7438-a84c-8ce9a44d83fc"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=3341F1296A454766A8E3BC48D7B5E50E&assignmentId=0198bffc-b76d-7438-a84c-8ce9a44d83fc&projectId=0198beef-981a-7243-9790-051e10551090","3341F1296A454766A8E3BC48D7B5E50E-2025-08-19-02-00-08","","null","","images/semantic_sequence/using_technology_semantic/using_technology_semantic_0.png","null","",""
