"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","3266","0.0-0.0","A88B7E566F794A63B2C9CD11B78E018D","A88B7E566F794A63B2C9CD11B78E018D","0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A88B7E566F794A63B2C9CD11B78E018D"",""assignmentId"":""0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A88B7E566F794A63B2C9CD11B78E018D&assignmentId=0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A88B7E566F794A63B2C9CD11B78E018D-2025-08-29-02-40-57","","","","","","",""
"","","","","","instructions","1","238264","0.0-1.0","A88B7E566F794A63B2C9CD11B78E018D","A88B7E566F794A63B2C9CD11B78E018D","0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A88B7E566F794A63B2C9CD11B78E018D"",""assignmentId"":""0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A88B7E566F794A63B2C9CD11B78E018D&assignmentId=0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A88B7E566F794A63B2C9CD11B78E018D-2025-08-29-02-40-57","[{""page_index"":0,""viewing_time"":47055}]","47056","","","","",""
"","","","","","instructions","2","244921","0.0-2.0","A88B7E566F794A63B2C9CD11B78E018D","A88B7E566F794A63B2C9CD11B78E018D","0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A88B7E566F794A63B2C9CD11B78E018D"",""assignmentId"":""0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A88B7E566F794A63B2C9CD11B78E018D&assignmentId=0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A88B7E566F794A63B2C9CD11B78E018D-2025-08-29-02-40-57","[{""page_index"":0,""viewing_time"":6648}]","6657","","","","",""
"true","","","","","fullscreen","3","248365","0.0-3.0","A88B7E566F794A63B2C9CD11B78E018D","A88B7E566F794A63B2C9CD11B78E018D","0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A88B7E566F794A63B2C9CD11B78E018D"",""assignmentId"":""0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A88B7E566F794A63B2C9CD11B78E018D&assignmentId=0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A88B7E566F794A63B2C9CD11B78E018D-2025-08-29-02-40-57","","2441","","","","",""
"","","","","","initialize-microphone","4","254316","0.0-4.0-0.0","A88B7E566F794A63B2C9CD11B78E018D","A88B7E566F794A63B2C9CD11B78E018D","0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A88B7E566F794A63B2C9CD11B78E018D"",""assignmentId"":""0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A88B7E566F794A63B2C9CD11B78E018D&assignmentId=0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A88B7E566F794A63B2C9CD11B78E018D-2025-08-29-02-40-57","","","83A4CD594FAC9EB8E09E7641F8276015B18C4D62","","","",""
"","","","","","html-audio-response","5","257462","0.0-4.0-1.0","A88B7E566F794A63B2C9CD11B78E018D","A88B7E566F794A63B2C9CD11B78E018D","0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A88B7E566F794A63B2C9CD11B78E018D"",""assignmentId"":""0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A88B7E566F794A63B2C9CD11B78E018D&assignmentId=0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A88B7E566F794A63B2C9CD11B78E018D-2025-08-29-02-40-57","","2244","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","2",""
"","","","","","html-button-response","6","258380","0.0-4.0-2.0","A88B7E566F794A63B2C9CD11B78E018D","A88B7E566F794A63B2C9CD11B78E018D","0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A88B7E566F794A63B2C9CD11B78E018D"",""assignmentId"":""0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A88B7E566F794A63B2C9CD11B78E018D&assignmentId=0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A88B7E566F794A63B2C9CD11B78E018D-2025-08-29-02-40-57","","916","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","261013","0.0-5.0","A88B7E566F794A63B2C9CD11B78E018D","A88B7E566F794A63B2C9CD11B78E018D","0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A88B7E566F794A63B2C9CD11B78E018D"",""assignmentId"":""0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A88B7E566F794A63B2C9CD11B78E018D&assignmentId=0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A88B7E566F794A63B2C9CD11B78E018D-2025-08-29-02-40-57","[{""page_index"":0,""viewing_time"":931},{""page_index"":1,""viewing_time"":768},{""page_index"":2,""viewing_time"":933}]","2632","","","","",""
"","","","","","image-button-response","8","267023","0.0-6.0-0.0","A88B7E566F794A63B2C9CD11B78E018D","A88B7E566F794A63B2C9CD11B78E018D","0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A88B7E566F794A63B2C9CD11B78E018D"",""assignmentId"":""0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A88B7E566F794A63B2C9CD11B78E018D&assignmentId=0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A88B7E566F794A63B2C9CD11B78E018D-2025-08-29-02-40-57","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","268830","0.0-7.0","A88B7E566F794A63B2C9CD11B78E018D","A88B7E566F794A63B2C9CD11B78E018D","0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A88B7E566F794A63B2C9CD11B78E018D"",""assignmentId"":""0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A88B7E566F794A63B2C9CD11B78E018D&assignmentId=0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A88B7E566F794A63B2C9CD11B78E018D-2025-08-29-02-40-57","","919","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, in the order of the story they create. Try to recall the sequence of events as they appeared in the story, not necessarily the order they were presented on the screen.</p>""]","","19",""
"","","","","","instructions","10","269462","0.0-8.0","A88B7E566F794A63B2C9CD11B78E018D","A88B7E566F794A63B2C9CD11B78E018D","0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A88B7E566F794A63B2C9CD11B78E018D"",""assignmentId"":""0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A88B7E566F794A63B2C9CD11B78E018D&assignmentId=0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A88B7E566F794A63B2C9CD11B78E018D-2025-08-29-02-40-57","[{""page_index"":0,""viewing_time"":630}]","630","","","","",""
"","","","","","image-button-response","11","275472","0.0-9.0-0.0","A88B7E566F794A63B2C9CD11B78E018D","A88B7E566F794A63B2C9CD11B78E018D","0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A88B7E566F794A63B2C9CD11B78E018D"",""assignmentId"":""0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A88B7E566F794A63B2C9CD11B78E018D&assignmentId=0198f3aa-e4fb-7dd8-8acf-53de31e2c9c0&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A88B7E566F794A63B2C9CD11B78E018D-2025-08-29-02-40-57","","null","","images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_0.png","null","",""
