"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","37585","0.0-0.0","97C7CEDA6B8043BA9096300DBE1AAB8C","97C7CEDA6B8043BA9096300DBE1AAB8C","bda11d50-6c63-43fa-8af9-ffcd2c607f2e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""97C7CEDA6B8043BA9096300DBE1AAB8C"",""assignmentId"":""bda11d50-6c63-43fa-8af9-ffcd2c607f2e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=97C7CEDA6B8043BA9096300DBE1AAB8C&assignmentId=bda11d50-6c63-43fa-8af9-ffcd2c607f2e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","97C7CEDA6B8043BA9096300DBE1AAB8C-2025-05-28-18-49-44","","","","","","",""
"","","","","","instructions","1","44692","0.0-1.0","97C7CEDA6B8043BA9096300DBE1AAB8C","97C7CEDA6B8043BA9096300DBE1AAB8C","bda11d50-6c63-43fa-8af9-ffcd2c607f2e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""97C7CEDA6B8043BA9096300DBE1AAB8C"",""assignmentId"":""bda11d50-6c63-43fa-8af9-ffcd2c607f2e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=97C7CEDA6B8043BA9096300DBE1AAB8C&assignmentId=bda11d50-6c63-43fa-8af9-ffcd2c607f2e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","97C7CEDA6B8043BA9096300DBE1AAB8C-2025-05-28-18-49-44","[{""page_index"":0,""viewing_time"":7105}]","7106","","","","",""
"","","","","","instructions","2","70900","0.0-2.0","97C7CEDA6B8043BA9096300DBE1AAB8C","97C7CEDA6B8043BA9096300DBE1AAB8C","bda11d50-6c63-43fa-8af9-ffcd2c607f2e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""97C7CEDA6B8043BA9096300DBE1AAB8C"",""assignmentId"":""bda11d50-6c63-43fa-8af9-ffcd2c607f2e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=97C7CEDA6B8043BA9096300DBE1AAB8C&assignmentId=bda11d50-6c63-43fa-8af9-ffcd2c607f2e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","97C7CEDA6B8043BA9096300DBE1AAB8C-2025-05-28-18-49-44","[{""page_index"":0,""viewing_time"":26208}]","26209","","","","",""
"true","","","","","fullscreen","3","74088","0.0-3.0","97C7CEDA6B8043BA9096300DBE1AAB8C","97C7CEDA6B8043BA9096300DBE1AAB8C","bda11d50-6c63-43fa-8af9-ffcd2c607f2e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""97C7CEDA6B8043BA9096300DBE1AAB8C"",""assignmentId"":""bda11d50-6c63-43fa-8af9-ffcd2c607f2e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=97C7CEDA6B8043BA9096300DBE1AAB8C&assignmentId=bda11d50-6c63-43fa-8af9-ffcd2c607f2e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","97C7CEDA6B8043BA9096300DBE1AAB8C-2025-05-28-18-49-44","","2183","","","","",""
"","","","","","initialize-microphone","4","79797","0.0-4.0-0.0","97C7CEDA6B8043BA9096300DBE1AAB8C","97C7CEDA6B8043BA9096300DBE1AAB8C","bda11d50-6c63-43fa-8af9-ffcd2c607f2e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""97C7CEDA6B8043BA9096300DBE1AAB8C"",""assignmentId"":""bda11d50-6c63-43fa-8af9-ffcd2c607f2e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=97C7CEDA6B8043BA9096300DBE1AAB8C&assignmentId=bda11d50-6c63-43fa-8af9-ffcd2c607f2e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","97C7CEDA6B8043BA9096300DBE1AAB8C-2025-05-28-18-49-44","","","827412427ce328c03ff393318412c6d02eb26b71e26ae1624acc148f2b69431a","","","",""
"","","","","","html-audio-response","5","89815","0.0-4.0-1.0","97C7CEDA6B8043BA9096300DBE1AAB8C","97C7CEDA6B8043BA9096300DBE1AAB8C","bda11d50-6c63-43fa-8af9-ffcd2c607f2e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""97C7CEDA6B8043BA9096300DBE1AAB8C"",""assignmentId"":""bda11d50-6c63-43fa-8af9-ffcd2c607f2e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=97C7CEDA6B8043BA9096300DBE1AAB8C&assignmentId=bda11d50-6c63-43fa-8af9-ffcd2c607f2e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","97C7CEDA6B8043BA9096300DBE1AAB8C-2025-05-28-18-49-44","","3013","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","3",""
"","","","","","html-button-response","6","90912","0.0-4.0-2.0","97C7CEDA6B8043BA9096300DBE1AAB8C","97C7CEDA6B8043BA9096300DBE1AAB8C","bda11d50-6c63-43fa-8af9-ffcd2c607f2e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""97C7CEDA6B8043BA9096300DBE1AAB8C"",""assignmentId"":""bda11d50-6c63-43fa-8af9-ffcd2c607f2e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=97C7CEDA6B8043BA9096300DBE1AAB8C&assignmentId=bda11d50-6c63-43fa-8af9-ffcd2c607f2e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","97C7CEDA6B8043BA9096300DBE1AAB8C-2025-05-28-18-49-44","","1096","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","106982","0.0-5.0","97C7CEDA6B8043BA9096300DBE1AAB8C","97C7CEDA6B8043BA9096300DBE1AAB8C","bda11d50-6c63-43fa-8af9-ffcd2c607f2e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""97C7CEDA6B8043BA9096300DBE1AAB8C"",""assignmentId"":""bda11d50-6c63-43fa-8af9-ffcd2c607f2e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=97C7CEDA6B8043BA9096300DBE1AAB8C&assignmentId=bda11d50-6c63-43fa-8af9-ffcd2c607f2e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","97C7CEDA6B8043BA9096300DBE1AAB8C-2025-05-28-18-49-44","[{""page_index"":0,""viewing_time"":941},{""page_index"":1,""viewing_time"":5566},{""page_index"":2,""viewing_time"":9560}]","16067","","","","",""
"","","","","","image-button-response","8","112987","0.0-6.0-0.0","97C7CEDA6B8043BA9096300DBE1AAB8C","97C7CEDA6B8043BA9096300DBE1AAB8C","bda11d50-6c63-43fa-8af9-ffcd2c607f2e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""97C7CEDA6B8043BA9096300DBE1AAB8C"",""assignmentId"":""bda11d50-6c63-43fa-8af9-ffcd2c607f2e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=97C7CEDA6B8043BA9096300DBE1AAB8C&assignmentId=bda11d50-6c63-43fa-8af9-ffcd2c607f2e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","97C7CEDA6B8043BA9096300DBE1AAB8C-2025-05-28-18-49-44","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","129409","0.0-7.0","97C7CEDA6B8043BA9096300DBE1AAB8C","97C7CEDA6B8043BA9096300DBE1AAB8C","bda11d50-6c63-43fa-8af9-ffcd2c607f2e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""97C7CEDA6B8043BA9096300DBE1AAB8C"",""assignmentId"":""bda11d50-6c63-43fa-8af9-ffcd2c607f2e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=97C7CEDA6B8043BA9096300DBE1AAB8C&assignmentId=bda11d50-6c63-43fa-8af9-ffcd2c607f2e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","97C7CEDA6B8043BA9096300DBE1AAB8C-2025-05-28-18-49-44","","15469","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, in the exact order you saw them. Try to recall as many images as you can, but remember: getting the order right is more important than the number of images you recall.</p>""]","","13",""
"","","","","","instructions","10","130474","0.0-8.0","97C7CEDA6B8043BA9096300DBE1AAB8C","97C7CEDA6B8043BA9096300DBE1AAB8C","bda11d50-6c63-43fa-8af9-ffcd2c607f2e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""97C7CEDA6B8043BA9096300DBE1AAB8C"",""assignmentId"":""bda11d50-6c63-43fa-8af9-ffcd2c607f2e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=97C7CEDA6B8043BA9096300DBE1AAB8C&assignmentId=bda11d50-6c63-43fa-8af9-ffcd2c607f2e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","97C7CEDA6B8043BA9096300DBE1AAB8C-2025-05-28-18-49-44","[{""page_index"":0,""viewing_time"":1059}]","1059","","","","",""
"","","","","","image-button-response","11","136476","0.0-9.0-0.0","97C7CEDA6B8043BA9096300DBE1AAB8C","97C7CEDA6B8043BA9096300DBE1AAB8C","bda11d50-6c63-43fa-8af9-ffcd2c607f2e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""97C7CEDA6B8043BA9096300DBE1AAB8C"",""assignmentId"":""bda11d50-6c63-43fa-8af9-ffcd2c607f2e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=97C7CEDA6B8043BA9096300DBE1AAB8C&assignmentId=bda11d50-6c63-43fa-8af9-ffcd2c607f2e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","97C7CEDA6B8043BA9096300DBE1AAB8C-2025-05-28-18-49-44","","null","","images/schematic_sequence/dinner_party_scheme/dinner_party_scheme_0.png","null","",""
"","","","","","html-audio-response","12","164172","0.0-10.0","97C7CEDA6B8043BA9096300DBE1AAB8C","97C7CEDA6B8043BA9096300DBE1AAB8C","bda11d50-6c63-43fa-8af9-ffcd2c607f2e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""97C7CEDA6B8043BA9096300DBE1AAB8C"",""assignmentId"":""bda11d50-6c63-43fa-8af9-ffcd2c607f2e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=97C7CEDA6B8043BA9096300DBE1AAB8C&assignmentId=bda11d50-6c63-43fa-8af9-ffcd2c607f2e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","97C7CEDA6B8043BA9096300DBE1AAB8C-2025-05-28-18-49-44","","26757","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, in the exact order you saw them. Try to recall as many images as you can, but remember: getting the order right is more important than the number of images you recall. </p>""]","","10","dinner_party_scheme"
"","","","","","image-button-response","13","170181","0.0-11.0-0.0","97C7CEDA6B8043BA9096300DBE1AAB8C","97C7CEDA6B8043BA9096300DBE1AAB8C","bda11d50-6c63-43fa-8af9-ffcd2c607f2e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""97C7CEDA6B8043BA9096300DBE1AAB8C"",""assignmentId"":""bda11d50-6c63-43fa-8af9-ffcd2c607f2e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=97C7CEDA6B8043BA9096300DBE1AAB8C&assignmentId=bda11d50-6c63-43fa-8af9-ffcd2c607f2e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","97C7CEDA6B8043BA9096300DBE1AAB8C-2025-05-28-18-49-44","","null","","images/semantic_sequence/redecorating_semantic/redecorating_semantic_0.png","null","",""
"","","","","","html-audio-response","14","180999","0.0-12.0","97C7CEDA6B8043BA9096300DBE1AAB8C","97C7CEDA6B8043BA9096300DBE1AAB8C","bda11d50-6c63-43fa-8af9-ffcd2c607f2e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""97C7CEDA6B8043BA9096300DBE1AAB8C"",""assignmentId"":""bda11d50-6c63-43fa-8af9-ffcd2c607f2e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=97C7CEDA6B8043BA9096300DBE1AAB8C&assignmentId=bda11d50-6c63-43fa-8af9-ffcd2c607f2e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","97C7CEDA6B8043BA9096300DBE1AAB8C-2025-05-28-18-49-44","","9754","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, in the exact order you saw them. Try to recall as many images as you can, but remember: getting the order right is more important than the number of images you recall. </p>""]","","2","redecorating_semantic"
"","","","","","image-button-response","15","187006","0.0-13.0-0.0","97C7CEDA6B8043BA9096300DBE1AAB8C","97C7CEDA6B8043BA9096300DBE1AAB8C","bda11d50-6c63-43fa-8af9-ffcd2c607f2e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""97C7CEDA6B8043BA9096300DBE1AAB8C"",""assignmentId"":""bda11d50-6c63-43fa-8af9-ffcd2c607f2e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=97C7CEDA6B8043BA9096300DBE1AAB8C&assignmentId=bda11d50-6c63-43fa-8af9-ffcd2c607f2e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","97C7CEDA6B8043BA9096300DBE1AAB8C-2025-05-28-18-49-44","","null","","images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_0.png","null","",""
