"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","1214","0.0-0.0","10943C1C735143E88F4DA058CFE03C3F","10943C1C735143E88F4DA058CFE03C3F","09107497-0c71-4c61-8fcc-1389bef6cf8f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""10943C1C735143E88F4DA058CFE03C3F"",""assignmentId"":""09107497-0c71-4c61-8fcc-1389bef6cf8f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=10943C1C735143E88F4DA058CFE03C3F&assignmentId=09107497-0c71-4c61-8fcc-1389bef6cf8f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","10943C1C735143E88F4DA058CFE03C3F-2025-05-15-21-01-23","","","","","","",""
"","","","","","instructions","1","46503","0.0-1.0","10943C1C735143E88F4DA058CFE03C3F","10943C1C735143E88F4DA058CFE03C3F","09107497-0c71-4c61-8fcc-1389bef6cf8f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""10943C1C735143E88F4DA058CFE03C3F"",""assignmentId"":""09107497-0c71-4c61-8fcc-1389bef6cf8f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=10943C1C735143E88F4DA058CFE03C3F&assignmentId=09107497-0c71-4c61-8fcc-1389bef6cf8f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","10943C1C735143E88F4DA058CFE03C3F-2025-05-15-21-01-23","[{""page_index"":0,""viewing_time"":45287}]","45287","","","","",""
"","","","","","instructions","2","52684","0.0-2.0","10943C1C735143E88F4DA058CFE03C3F","10943C1C735143E88F4DA058CFE03C3F","09107497-0c71-4c61-8fcc-1389bef6cf8f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""10943C1C735143E88F4DA058CFE03C3F"",""assignmentId"":""09107497-0c71-4c61-8fcc-1389bef6cf8f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=10943C1C735143E88F4DA058CFE03C3F&assignmentId=09107497-0c71-4c61-8fcc-1389bef6cf8f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","10943C1C735143E88F4DA058CFE03C3F-2025-05-15-21-01-23","[{""page_index"":0,""viewing_time"":6179}]","6179","","","","",""
"true","","","","","fullscreen","3","55571","0.0-3.0","10943C1C735143E88F4DA058CFE03C3F","10943C1C735143E88F4DA058CFE03C3F","09107497-0c71-4c61-8fcc-1389bef6cf8f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""10943C1C735143E88F4DA058CFE03C3F"",""assignmentId"":""09107497-0c71-4c61-8fcc-1389bef6cf8f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=10943C1C735143E88F4DA058CFE03C3F&assignmentId=09107497-0c71-4c61-8fcc-1389bef6cf8f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","10943C1C735143E88F4DA058CFE03C3F-2025-05-15-21-01-23","","1884","","","","",""
"","","","","","initialize-microphone","4","59466","0.0-4.0-0.0","10943C1C735143E88F4DA058CFE03C3F","10943C1C735143E88F4DA058CFE03C3F","09107497-0c71-4c61-8fcc-1389bef6cf8f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""10943C1C735143E88F4DA058CFE03C3F"",""assignmentId"":""09107497-0c71-4c61-8fcc-1389bef6cf8f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=10943C1C735143E88F4DA058CFE03C3F&assignmentId=09107497-0c71-4c61-8fcc-1389bef6cf8f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","10943C1C735143E88F4DA058CFE03C3F-2025-05-15-21-01-23","","","07622b27e003f937d29dc52d1b56da48985679eacb3e27a6e0f9ed30f9f4077e","","","",""
"","","","","","html-audio-response","5","69089","0.0-4.0-1.0","10943C1C735143E88F4DA058CFE03C3F","10943C1C735143E88F4DA058CFE03C3F","09107497-0c71-4c61-8fcc-1389bef6cf8f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""10943C1C735143E88F4DA058CFE03C3F"",""assignmentId"":""09107497-0c71-4c61-8fcc-1389bef6cf8f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=10943C1C735143E88F4DA058CFE03C3F&assignmentId=09107497-0c71-4c61-8fcc-1389bef6cf8f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","10943C1C735143E88F4DA058CFE03C3F-2025-05-15-21-01-23","","4307","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","5",""
"","","","","","html-button-response","6","71022","0.0-4.0-2.0","10943C1C735143E88F4DA058CFE03C3F","10943C1C735143E88F4DA058CFE03C3F","09107497-0c71-4c61-8fcc-1389bef6cf8f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""10943C1C735143E88F4DA058CFE03C3F"",""assignmentId"":""09107497-0c71-4c61-8fcc-1389bef6cf8f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=10943C1C735143E88F4DA058CFE03C3F&assignmentId=09107497-0c71-4c61-8fcc-1389bef6cf8f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","10943C1C735143E88F4DA058CFE03C3F-2025-05-15-21-01-23","","1931","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","91974","0.0-5.0","10943C1C735143E88F4DA058CFE03C3F","10943C1C735143E88F4DA058CFE03C3F","09107497-0c71-4c61-8fcc-1389bef6cf8f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""10943C1C735143E88F4DA058CFE03C3F"",""assignmentId"":""09107497-0c71-4c61-8fcc-1389bef6cf8f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=10943C1C735143E88F4DA058CFE03C3F&assignmentId=09107497-0c71-4c61-8fcc-1389bef6cf8f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","10943C1C735143E88F4DA058CFE03C3F-2025-05-15-21-01-23","[{""page_index"":0,""viewing_time"":1348},{""page_index"":1,""viewing_time"":4814},{""page_index"":2,""viewing_time"":14787}]","20950","","","","",""
"","","","","","image-button-response","8","97981","0.0-6.0-0.0","10943C1C735143E88F4DA058CFE03C3F","10943C1C735143E88F4DA058CFE03C3F","09107497-0c71-4c61-8fcc-1389bef6cf8f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""10943C1C735143E88F4DA058CFE03C3F"",""assignmentId"":""09107497-0c71-4c61-8fcc-1389bef6cf8f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=10943C1C735143E88F4DA058CFE03C3F&assignmentId=09107497-0c71-4c61-8fcc-1389bef6cf8f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","10943C1C735143E88F4DA058CFE03C3F-2025-05-15-21-01-23","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","113944","0.0-7.0","10943C1C735143E88F4DA058CFE03C3F","10943C1C735143E88F4DA058CFE03C3F","09107497-0c71-4c61-8fcc-1389bef6cf8f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""10943C1C735143E88F4DA058CFE03C3F"",""assignmentId"":""09107497-0c71-4c61-8fcc-1389bef6cf8f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=10943C1C735143E88F4DA058CFE03C3F&assignmentId=09107497-0c71-4c61-8fcc-1389bef6cf8f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","10943C1C735143E88F4DA058CFE03C3F-2025-05-15-21-01-23","","14621","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","2",""
"","","","","","instructions","10","116073","0.0-8.0","10943C1C735143E88F4DA058CFE03C3F","10943C1C735143E88F4DA058CFE03C3F","09107497-0c71-4c61-8fcc-1389bef6cf8f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""10943C1C735143E88F4DA058CFE03C3F"",""assignmentId"":""09107497-0c71-4c61-8fcc-1389bef6cf8f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=10943C1C735143E88F4DA058CFE03C3F&assignmentId=09107497-0c71-4c61-8fcc-1389bef6cf8f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","10943C1C735143E88F4DA058CFE03C3F-2025-05-15-21-01-23","[{""page_index"":0,""viewing_time"":2120}]","2120","","","","",""
"","","","","","image-button-response","11","122078","0.0-9.0-0.0","10943C1C735143E88F4DA058CFE03C3F","10943C1C735143E88F4DA058CFE03C3F","09107497-0c71-4c61-8fcc-1389bef6cf8f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""10943C1C735143E88F4DA058CFE03C3F"",""assignmentId"":""09107497-0c71-4c61-8fcc-1389bef6cf8f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=10943C1C735143E88F4DA058CFE03C3F&assignmentId=09107497-0c71-4c61-8fcc-1389bef6cf8f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","10943C1C735143E88F4DA058CFE03C3F-2025-05-15-21-01-23","","null","","images/schematic_sequence/interview_scheme/interview_scheme_0.png","null","",""
