"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","2099","0.0-0.0","BFAFB5FB18564AEF8D00B606A1DD8989","BFAFB5FB18564AEF8D00B606A1DD8989","92436ea2-f4b4-4a13-a300-cfff974ecaf6","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""BFAFB5FB18564AEF8D00B606A1DD8989"",""assignmentId"":""92436ea2-f4b4-4a13-a300-cfff974ecaf6"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=BFAFB5FB18564AEF8D00B606A1DD8989&assignmentId=92436ea2-f4b4-4a13-a300-cfff974ecaf6&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","BFAFB5FB18564AEF8D00B606A1DD8989-2025-05-16-19-51-17","","","","","","",""
"","","","","","instructions","1","113513","0.0-1.0","BFAFB5FB18564AEF8D00B606A1DD8989","BFAFB5FB18564AEF8D00B606A1DD8989","92436ea2-f4b4-4a13-a300-cfff974ecaf6","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""BFAFB5FB18564AEF8D00B606A1DD8989"",""assignmentId"":""92436ea2-f4b4-4a13-a300-cfff974ecaf6"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=BFAFB5FB18564AEF8D00B606A1DD8989&assignmentId=92436ea2-f4b4-4a13-a300-cfff974ecaf6&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","BFAFB5FB18564AEF8D00B606A1DD8989-2025-05-16-19-51-17","[{""page_index"":0,""viewing_time"":111413}]","111414","","","","",""
"","","","","","instructions","2","122144","0.0-2.0","BFAFB5FB18564AEF8D00B606A1DD8989","BFAFB5FB18564AEF8D00B606A1DD8989","92436ea2-f4b4-4a13-a300-cfff974ecaf6","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""BFAFB5FB18564AEF8D00B606A1DD8989"",""assignmentId"":""92436ea2-f4b4-4a13-a300-cfff974ecaf6"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=BFAFB5FB18564AEF8D00B606A1DD8989&assignmentId=92436ea2-f4b4-4a13-a300-cfff974ecaf6&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","BFAFB5FB18564AEF8D00B606A1DD8989-2025-05-16-19-51-17","[{""page_index"":0,""viewing_time"":8631}]","8631","","","","",""
"true","","","","","fullscreen","3","125199","0.0-3.0","BFAFB5FB18564AEF8D00B606A1DD8989","BFAFB5FB18564AEF8D00B606A1DD8989","92436ea2-f4b4-4a13-a300-cfff974ecaf6","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""BFAFB5FB18564AEF8D00B606A1DD8989"",""assignmentId"":""92436ea2-f4b4-4a13-a300-cfff974ecaf6"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=BFAFB5FB18564AEF8D00B606A1DD8989&assignmentId=92436ea2-f4b4-4a13-a300-cfff974ecaf6&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","BFAFB5FB18564AEF8D00B606A1DD8989-2025-05-16-19-51-17","","2040","","","","",""
"","","","","","initialize-microphone","4","133027","0.0-4.0-0.0","BFAFB5FB18564AEF8D00B606A1DD8989","BFAFB5FB18564AEF8D00B606A1DD8989","92436ea2-f4b4-4a13-a300-cfff974ecaf6","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""BFAFB5FB18564AEF8D00B606A1DD8989"",""assignmentId"":""92436ea2-f4b4-4a13-a300-cfff974ecaf6"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=BFAFB5FB18564AEF8D00B606A1DD8989&assignmentId=92436ea2-f4b4-4a13-a300-cfff974ecaf6&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","BFAFB5FB18564AEF8D00B606A1DD8989-2025-05-16-19-51-17","","","0373415823df6f59de88f658684773245f2cfd306e4469c90697e388c26364d8","","","",""
"","","","","","html-audio-response","5","146089","0.0-4.0-1.0","BFAFB5FB18564AEF8D00B606A1DD8989","BFAFB5FB18564AEF8D00B606A1DD8989","92436ea2-f4b4-4a13-a300-cfff974ecaf6","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""BFAFB5FB18564AEF8D00B606A1DD8989"",""assignmentId"":""92436ea2-f4b4-4a13-a300-cfff974ecaf6"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=BFAFB5FB18564AEF8D00B606A1DD8989&assignmentId=92436ea2-f4b4-4a13-a300-cfff974ecaf6&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","BFAFB5FB18564AEF8D00B606A1DD8989-2025-05-16-19-51-17","","5577","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","2",""
"","","","","","html-button-response","6","147577","0.0-4.0-2.0","BFAFB5FB18564AEF8D00B606A1DD8989","BFAFB5FB18564AEF8D00B606A1DD8989","92436ea2-f4b4-4a13-a300-cfff974ecaf6","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""BFAFB5FB18564AEF8D00B606A1DD8989"",""assignmentId"":""92436ea2-f4b4-4a13-a300-cfff974ecaf6"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=BFAFB5FB18564AEF8D00B606A1DD8989&assignmentId=92436ea2-f4b4-4a13-a300-cfff974ecaf6&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","BFAFB5FB18564AEF8D00B606A1DD8989-2025-05-16-19-51-17","","1487","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","170616","0.0-5.0","BFAFB5FB18564AEF8D00B606A1DD8989","BFAFB5FB18564AEF8D00B606A1DD8989","92436ea2-f4b4-4a13-a300-cfff974ecaf6","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""BFAFB5FB18564AEF8D00B606A1DD8989"",""assignmentId"":""92436ea2-f4b4-4a13-a300-cfff974ecaf6"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=BFAFB5FB18564AEF8D00B606A1DD8989&assignmentId=92436ea2-f4b4-4a13-a300-cfff974ecaf6&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","BFAFB5FB18564AEF8D00B606A1DD8989-2025-05-16-19-51-17","[{""page_index"":0,""viewing_time"":1216},{""page_index"":1,""viewing_time"":14976},{""page_index"":2,""viewing_time"":6848}]","23040","","","","",""
"","","","","","image-button-response","8","176628","0.0-6.0-0.0","BFAFB5FB18564AEF8D00B606A1DD8989","BFAFB5FB18564AEF8D00B606A1DD8989","92436ea2-f4b4-4a13-a300-cfff974ecaf6","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""BFAFB5FB18564AEF8D00B606A1DD8989"",""assignmentId"":""92436ea2-f4b4-4a13-a300-cfff974ecaf6"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=BFAFB5FB18564AEF8D00B606A1DD8989&assignmentId=92436ea2-f4b4-4a13-a300-cfff974ecaf6&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","BFAFB5FB18564AEF8D00B606A1DD8989-2025-05-16-19-51-17","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","234848","0.0-7.0","BFAFB5FB18564AEF8D00B606A1DD8989","BFAFB5FB18564AEF8D00B606A1DD8989","92436ea2-f4b4-4a13-a300-cfff974ecaf6","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""BFAFB5FB18564AEF8D00B606A1DD8989"",""assignmentId"":""92436ea2-f4b4-4a13-a300-cfff974ecaf6"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=BFAFB5FB18564AEF8D00B606A1DD8989&assignmentId=92436ea2-f4b4-4a13-a300-cfff974ecaf6&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","BFAFB5FB18564AEF8D00B606A1DD8989-2025-05-16-19-51-17","","30497","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","1",""
"","","","","","instructions","10","236592","0.0-8.0","BFAFB5FB18564AEF8D00B606A1DD8989","BFAFB5FB18564AEF8D00B606A1DD8989","92436ea2-f4b4-4a13-a300-cfff974ecaf6","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""BFAFB5FB18564AEF8D00B606A1DD8989"",""assignmentId"":""92436ea2-f4b4-4a13-a300-cfff974ecaf6"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=BFAFB5FB18564AEF8D00B606A1DD8989&assignmentId=92436ea2-f4b4-4a13-a300-cfff974ecaf6&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","BFAFB5FB18564AEF8D00B606A1DD8989-2025-05-16-19-51-17","[{""page_index"":0,""viewing_time"":1740}]","1740","","","","",""
"","","","","","image-button-response","11","242597","0.0-9.0-0.0","BFAFB5FB18564AEF8D00B606A1DD8989","BFAFB5FB18564AEF8D00B606A1DD8989","92436ea2-f4b4-4a13-a300-cfff974ecaf6","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""BFAFB5FB18564AEF8D00B606A1DD8989"",""assignmentId"":""92436ea2-f4b4-4a13-a300-cfff974ecaf6"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=BFAFB5FB18564AEF8D00B606A1DD8989&assignmentId=92436ea2-f4b4-4a13-a300-cfff974ecaf6&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","BFAFB5FB18564AEF8D00B606A1DD8989-2025-05-16-19-51-17","","null","","images/schematic_sequence/flight_scheme/flight_scheme_0.png","null","",""
"","","","","","html-audio-response","12","299720","0.0-10.0","BFAFB5FB18564AEF8D00B606A1DD8989","BFAFB5FB18564AEF8D00B606A1DD8989","92436ea2-f4b4-4a13-a300-cfff974ecaf6","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""BFAFB5FB18564AEF8D00B606A1DD8989"",""assignmentId"":""92436ea2-f4b4-4a13-a300-cfff974ecaf6"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=BFAFB5FB18564AEF8D00B606A1DD8989&assignmentId=92436ea2-f4b4-4a13-a300-cfff974ecaf6&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","BFAFB5FB18564AEF8D00B606A1DD8989-2025-05-16-19-51-17","","42046","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","1","flight_scheme"
"","","","","","image-button-response","13","305735","0.0-11.0-0.0","BFAFB5FB18564AEF8D00B606A1DD8989","BFAFB5FB18564AEF8D00B606A1DD8989","92436ea2-f4b4-4a13-a300-cfff974ecaf6","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""BFAFB5FB18564AEF8D00B606A1DD8989"",""assignmentId"":""92436ea2-f4b4-4a13-a300-cfff974ecaf6"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=BFAFB5FB18564AEF8D00B606A1DD8989&assignmentId=92436ea2-f4b4-4a13-a300-cfff974ecaf6&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","BFAFB5FB18564AEF8D00B606A1DD8989-2025-05-16-19-51-17","","null","","images/schematic_sequence/restaurant_scheme/restaurant_scheme_0.png","null","",""
"","","","","","html-audio-response","14","337712","0.0-12.0","BFAFB5FB18564AEF8D00B606A1DD8989","BFAFB5FB18564AEF8D00B606A1DD8989","92436ea2-f4b4-4a13-a300-cfff974ecaf6","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""BFAFB5FB18564AEF8D00B606A1DD8989"",""assignmentId"":""92436ea2-f4b4-4a13-a300-cfff974ecaf6"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=BFAFB5FB18564AEF8D00B606A1DD8989&assignmentId=92436ea2-f4b4-4a13-a300-cfff974ecaf6&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","BFAFB5FB18564AEF8D00B606A1DD8989-2025-05-16-19-51-17","","27518","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","1","restaurant_scheme"
"","","","","","image-button-response","15","343722","0.0-13.0-0.0","BFAFB5FB18564AEF8D00B606A1DD8989","BFAFB5FB18564AEF8D00B606A1DD8989","92436ea2-f4b4-4a13-a300-cfff974ecaf6","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""BFAFB5FB18564AEF8D00B606A1DD8989"",""assignmentId"":""92436ea2-f4b4-4a13-a300-cfff974ecaf6"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=BFAFB5FB18564AEF8D00B606A1DD8989&assignmentId=92436ea2-f4b4-4a13-a300-cfff974ecaf6&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","BFAFB5FB18564AEF8D00B606A1DD8989-2025-05-16-19-51-17","","null","","images/causal_sequence/coin_causal/coin_causal_0.png","null","",""
