"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","10585","0.0-0.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","13977","0.0-1.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","[{""page_index"":0,""viewing_time"":3390}]","3390","","","","","","","","","","","","","",""
"","","","","","instructions","2","18582","0.0-2.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","[{""page_index"":0,""viewing_time"":4600}]","4602","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","35428","0.0-3.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","15817","","","","","","","","","","","","","",""
"","","","","","instructions","4","46533","0.0-4.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","[{""page_index"":0,""viewing_time"":11101}]","11102","","","","","","","","","","","","","",""
"","","","","","instructions","5","52746","0.0-5.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","[{""page_index"":0,""viewing_time"":6208}]","6209","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","56749","0.0-6.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","7","59753","0.0-7.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                </div>
            </div>","null","example_question","1","","","","","","","","","",""
"","","","","","html-keyboard-response","8","63758","0.0-8.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","9","64817","0.0-9.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","1056","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                </div>
            </div>","0","example_question","2","","","","","","","","","",""
"","","","","","html-keyboard-response","10","68822","0.0-10.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","11","69841","0.0-11.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","1016","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                </div>
            </div>","0","example_question","3","","","","","","","","","",""
"","","","","","html-keyboard-response","12","73849","0.0-12.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                <div class=""question-area""></div> 
            </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","13","75202","0.0-13.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","1347","
            <div class=""stimulus-container"">
                <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                </div>
            </div>","0","example_question","4","","","","","","","","","",""
"","","","","","instructions","14","77549","0.0-14.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","[{""page_index"":0,""viewing_time"":2345}]","2346","","","","","","","","","","","","","",""
"","","","","","instructions","15","107388","0.0-15.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","[{""page_index"":0,""viewing_time"":29833}]","29837","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","112406","0.0-16.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","117407","0.0-17.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","18","120423","0.0-18.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","null","main_experiment_trial","1","package_causal","causal_sequence","chronological","","","","","","",""
"","","","","","html-keyboard-response","19","125438","0.0-19.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","20","126509","0.0-20.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","1066","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","2","package_causal","causal_sequence","chronological","","","","","","",""
"","","","","","html-keyboard-response","21","131522","0.0-21.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","22","132698","0.0-22.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","1172","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","3","package_causal","causal_sequence","chronological","","","","","","",""
"","","","","","html-keyboard-response","23","137704","0.0-23.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","24","138964","0.0-24.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","1255","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","4","package_causal","causal_sequence","chronological","","","","","","",""
"","","","","","html-keyboard-response","25","143979","0.0-25.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_5.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","26","145171","0.0-26.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","1187","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_5.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","5","package_causal","causal_sequence","chronological","","","","","","",""
"","","","","","html-keyboard-response","27","150179","0.0-27.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_6.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","28","151149","0.0-28.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","968","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_6.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","6","package_causal","causal_sequence","chronological","","","","","","",""
"","","","","","html-keyboard-response","29","156165","0.0-29.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_7.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","30","157086","0.0-30.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","915","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_7.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","7","package_causal","causal_sequence","chronological","","","","","","",""
"","","","","","html-keyboard-response","31","162101","0.0-31.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_8.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","32","163089","0.0-32.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","986","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_8.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","8","package_causal","causal_sequence","chronological","","","","","","",""
"","","","","","html-keyboard-response","33","168106","0.0-33.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_9.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","34","168973","0.0-34.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","864","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_9.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","9","package_causal","causal_sequence","chronological","","","","","","",""
"","","","","","html-keyboard-response","35","173986","0.0-35.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_ten.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","36","174843","0.0-36.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","849","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_ten.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","ten","package_causal","causal_sequence","chronological","","","","","","",""
"","","","","","html-keyboard-response","37","179851","0.0-37.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","184854","0.0-38.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/animals_semantic/animals_semantic_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","39","186628","0.0-39.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","1769","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/animals_semantic/animals_semantic_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","1","animals_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","40","191640","0.0-40.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/animals_semantic/animals_semantic_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","41","192613","0.0-41.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","969","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/animals_semantic/animals_semantic_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","2","animals_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","42","197619","0.0-42.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/animals_semantic/animals_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","43","198392","0.0-43.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","770","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/animals_semantic/animals_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","3","animals_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","44","203397","0.0-44.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/animals_semantic/animals_semantic_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","45","204419","0.0-45.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","1014","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/animals_semantic/animals_semantic_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","4","animals_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","46","209428","0.0-46.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/animals_semantic/animals_semantic_5.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","47","210237","0.0-47.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","807","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/animals_semantic/animals_semantic_5.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","5","animals_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","48","215245","0.0-48.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/animals_semantic/animals_semantic_6.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","49","216063","0.0-49.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","814","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/animals_semantic/animals_semantic_6.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","6","animals_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","50","221077","0.0-50.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/animals_semantic/animals_semantic_7.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","51","222310","0.0-51.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","1228","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/animals_semantic/animals_semantic_7.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","7","animals_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","52","227314","0.0-52.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/animals_semantic/animals_semantic_8.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","53","228151","0.0-53.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","835","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/animals_semantic/animals_semantic_8.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","8","animals_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","54","233166","0.0-54.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/animals_semantic/animals_semantic_9.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","55","234107","0.0-55.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","939","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/animals_semantic/animals_semantic_9.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","9","animals_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","56","239109","0.0-56.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/animals_semantic/animals_semantic_ten.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","57","240012","0.0-57.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","899","
                <div class=""stimulus-container"">
                    <img src=""semantic_sequence_notimeline/animals_semantic/animals_semantic_ten.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","ten","animals_semantic","semantic_sequence_notimeline","chronological","","","","","","",""
"","","","","","html-keyboard-response","58","245021","0.0-58.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","",""
"","","","","","html-keyboard-response","59","250024","0.0-59.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","60","251608","0.0-60.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","1581","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","1","museum_causal","causal_sequence","chronological","","","","","","",""
"","","","","","html-keyboard-response","61","256616","0.0-61.0","3DA8C0C672E048C6A8644D082A9388C9","019d6b94-6e35-7bc7-b864-ed960a0b16e5","019d6b6d-d11f-7233-9b95-7a424dbf389f","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
