"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","10230","0.0-0.0","2BE67863758E436BAB6D28C879D69ADF","01a0b641-770e-73f7-bcc8-2cbf0afa7cd2","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","32288","0.0-1.0","2BE67863758E436BAB6D28C879D69ADF","01a0b641-770e-73f7-bcc8-2cbf0afa7cd2","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":15523},{""page_index"":1,""viewing_time"":2699},{""page_index"":2,""viewing_time"":3835}]","22058","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","35254","0.0-2.0","2BE67863758E436BAB6D28C879D69ADF","01a0b641-770e-73f7-bcc8-2cbf0afa7cd2","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","1949","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","46740","0.0-3.0","2BE67863758E436BAB6D28C879D69ADF","01a0b641-770e-73f7-bcc8-2cbf0afa7cd2","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":11486}]","11486","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","55422","0.0-4.0","2BE67863758E436BAB6D28C879D69ADF","01a0b641-770e-73f7-bcc8-2cbf0afa7cd2","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","8679","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","56435","0.0-5.0","2BE67863758E436BAB6D28C879D69ADF","01a0b641-770e-73f7-bcc8-2cbf0afa7cd2","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","63270","0.0-6.0","2BE67863758E436BAB6D28C879D69ADF","01a0b641-770e-73f7-bcc8-2cbf0afa7cd2","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","6834","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","64284","0.0-7.0","2BE67863758E436BAB6D28C879D69ADF","01a0b641-770e-73f7-bcc8-2cbf0afa7cd2","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","71102","0.0-8.0","2BE67863758E436BAB6D28C879D69ADF","01a0b641-770e-73f7-bcc8-2cbf0afa7cd2","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","6816","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","72103","0.0-9.0","2BE67863758E436BAB6D28C879D69ADF","01a0b641-770e-73f7-bcc8-2cbf0afa7cd2","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
