"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","chosen_image_index","target_X","correct_choice"
"true","false","[]","[]","[]","preload","0","19790","0.0-0.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","","","","","","","","","","","","",""
"","","","","","instructions","1","32454","0.0-1.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","[{""page_index"":0,""viewing_time"":12663}]","12663","","","","","","","","","","",""
"","","","","","instructions","2","64494","0.0-2.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","[{""page_index"":0,""viewing_time"":32040}]","32040","","","","","","","","","","",""
"true","","","","","fullscreen","3","67756","0.0-3.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","","2259","","","","","","","","","","",""
"","","","","","instructions","4","78374","0.0-4.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","[{""page_index"":0,""viewing_time"":10617}]","10617","","","","","","","","","","",""
"","","","","","instructions","5","85562","0.0-5.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","[{""page_index"":0,""viewing_time"":7188}]","7188","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","89574","0.0-6.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","7","90835","0.0-7.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","","1258","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","",""
"","","","","","html-keyboard-response","8","94848","0.0-8.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","9","95940","0.0-9.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","","1090","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","",""
"","","","","","html-keyboard-response","10","99951","0.0-10.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","11","100620","0.0-11.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","","667","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","",""
"","","","","","html-keyboard-response","12","104632","0.0-12.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","13","105731","0.0-13.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","","1097","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","","",""
"","","","","","instructions","14","108060","0.0-14.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","[{""page_index"":0,""viewing_time"":2329}]","2329","","","","","","","","","","",""
"","","","","","instructions","15","116617","0.0-15.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","[{""page_index"":0,""viewing_time"":8557}]","8557","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","117618","0.0-16.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","",""
"","","","","","html-keyboard-response","17","122624","0.0-17.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/interview_scheme/interview_scheme_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","18","123652","0.0-18.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","","1027","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/interview_scheme/interview_scheme_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","1","interview_scheme","schematic_sequence","","","","",""
"","","","","","html-keyboard-response","19","128653","0.0-19.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/interview_scheme/interview_scheme_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","20","130660","0.0-20.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","","2006","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/interview_scheme/interview_scheme_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","2","interview_scheme","schematic_sequence","","","","",""
"","","","","","html-keyboard-response","21","135669","0.0-21.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/interview_scheme/interview_scheme_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","22","136516","0.0-22.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","","846","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/interview_scheme/interview_scheme_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","3","interview_scheme","schematic_sequence","","","","",""
"","","","","","html-keyboard-response","23","141520","0.0-23.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/interview_scheme/interview_scheme_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","24","142237","0.0-24.0","0E7E5B21DF7544188397958003572AC3","019cf4fc-6c80-7866-b45f-fdcfa548a9eb","019cf4c8-1de8-79ec-b3bd-d98520647593","","717","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/interview_scheme/interview_scheme_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","4","interview_scheme","schematic_sequence","","","","",""
