"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","completion_code","view_history","rt","stimulus","response","task","block_type","img_idx","block_id","value","pair_type","trial_value","chosen_type"
"true","false","[]","[]","[]","preload","0","5","0.0-0.0","202499","","","","","","","","","","","",""
"","","","","","instructions","1","13178","0.0-1.0","202499","[{""page_index"":0,""viewing_time"":7091},{""page_index"":1,""viewing_time"":6079}]","13171","","","","","","","","","",""
"true","","","","","fullscreen","2","16243","0.0-2.0","202499","","2037","","","","","","","","","",""
"","","","","","instructions","3","44036","0.0-3.0","202499","[{""page_index"":0,""viewing_time"":27789}]","27790","","","","","","","","","",""
"","","","","","html-keyboard-response","4","46047","0.0-4.0","202499","","null","<div class=""transition-square bg-info"">New series starting</div>","null","","","","","","","",""
"","","","","","html-keyboard-response","5","49056","0.0-5.0","202499","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/info_3_1.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","6","56353","0.0-6.0","202499","","7290","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/info_3_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","2","observation","info","1","info_3","","","",""
"","","","","","html-keyboard-response","7","59368","0.0-7.0","202499","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/info_3_2.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","8","63313","0.0-8.0","202499","","3941","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/info_3_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","1","observation","info","2","info_3","","","",""
"","","","","","html-keyboard-response","9","66326","0.0-9.0","202499","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/info_3_3.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","10","72441","0.0-10.0","202499","","6109","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/info_3_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","1","observation","info","3","info_3","","","",""
"","","","","","html-keyboard-response","11","75447","0.0-11.0","202499","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/info_3_4.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","12","80157","0.0-12.0","202499","","4706","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/info_3_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","1","observation","info","4","info_3","","","",""
"","","","","","html-keyboard-response","13","83165","0.0-13.0","202499","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/info_3_5.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","14","88087","0.0-14.0","202499","","4919","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/info_3_5.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","1","observation","info","5","info_3","","","",""
"","","","","","html-keyboard-response","15","90101","0.0-15.0","202499","","null","<div class=""transition-square bg-info"">New series starting</div>","null","","","","","","","",""
"","","","","","html-keyboard-response","16","93118","0.0-16.0","202499","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/info_5_1.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","17","97623","0.0-17.0","202499","","4501","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/info_5_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","2","observation","info","1","info_5","","","",""
"","","","","","html-keyboard-response","18","100634","0.0-18.0","202499","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/info_5_2.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","19","102623","0.0-19.0","202499","","1985","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/info_5_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","1","observation","info","2","info_5","","","",""
"","","","","","html-keyboard-response","20","105635","0.0-20.0","202499","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/info_5_3.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","21","108364","0.0-21.0","202499","","2725","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/info_5_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","0","observation","info","3","info_5","","","",""
"","","","","","html-keyboard-response","22","111367","0.0-22.0","202499","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/info_5_4.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","23","113117","0.0-23.0","202499","","1746","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/info_5_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","0","observation","info","4","info_5","","","",""
"","","","","","html-keyboard-response","24","116133","0.0-24.0","202499","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/info_5_5.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","25","118554","0.0-25.0","202499","","2416","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/info_5_5.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","1","observation","info","5","info_5","","","",""
"","","","","","html-keyboard-response","26","120571","0.0-26.0","202499","","null","<div class=""transition-square bg-story"">New series starting</div>","null","","","","","","","",""
"","","","","","html-keyboard-response","27","123589","0.0-27.0","202499","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/story_8_1.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","28","125024","0.0-28.0","202499","","1431","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/story_8_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","2","observation","story","1","story_8","","","",""
"","","","","","html-keyboard-response","29","128035","0.0-29.0","202499","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/story_8_2.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","30","130981","0.0-30.0","202499","","2943","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/story_8_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","0","observation","story","2","story_8","","","",""
"","","","","","html-keyboard-response","31","134008","0.0-31.0","202499","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/story_8_3.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","32","139278","0.0-32.0","202499","","5265","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/story_8_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","0","observation","story","3","story_8","","","",""
"","","","","","html-keyboard-response","33","142281","0.0-33.0","202499","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/story_8_4.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","34","143642","0.0-34.0","202499","","1357","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/story_8_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","0","observation","story","4","story_8","","","",""
"","","","","","html-keyboard-response","35","146648","0.0-35.0","202499","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/story_8_5.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","36","147995","0.0-36.0","202499","","1343","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/story_8_5.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","0","observation","story","5","story_8","","","",""
"","","","","","html-keyboard-response","37","150018","0.0-37.0","202499","","null","<div class=""transition-square bg-info"">New series starting</div>","null","","","","","","","",""
"","","","","","html-keyboard-response","38","153023","0.0-38.0","202499","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/info_1_1.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","39","156487","0.0-39.0","202499","","3462","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/info_1_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","2","observation","info","1","info_1","","","",""
"","","","","","html-keyboard-response","40","159495","0.0-40.0","202499","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/info_1_2.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","41","162027","0.0-41.0","202499","","2527","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/info_1_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","0","observation","info","2","info_1","","","",""
"","","","","","html-keyboard-response","42","165039","0.0-42.0","202499","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/info_1_3.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","43","168402","0.0-43.0","202499","","3359","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/info_1_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","1","observation","info","3","info_1","","","",""
"","","","","","html-keyboard-response","44","171404","0.0-44.0","202499","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/info_1_4.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","45","174390","0.0-45.0","202499","","2982","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/info_1_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","1","observation","info","4","info_1","","","",""
"","","","","","html-keyboard-response","46","177399","0.0-46.0","202499","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/info_1_5.png"" class=""exp-image""></div>","null","","","","","","","",""
