"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","1344","0.0-0.0","D9CACF171B7942B1A7FBCB6CB5A648F7","01a095eb-bb66-7748-84f2-6f3eca669178","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","14760","0.0-1.0","D9CACF171B7942B1A7FBCB6CB5A648F7","01a095eb-bb66-7748-84f2-6f3eca669178","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","[{""page_index"":0,""viewing_time"":10532},{""page_index"":1,""viewing_time"":2032},{""page_index"":2,""viewing_time"":850}]","13415","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","16694","0.0-2.0","D9CACF171B7942B1A7FBCB6CB5A648F7","01a095eb-bb66-7748-84f2-6f3eca669178","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","931","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","27326","0.0-3.0","D9CACF171B7942B1A7FBCB6CB5A648F7","01a095eb-bb66-7748-84f2-6f3eca669178","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","[{""page_index"":0,""viewing_time"":10631}]","10632","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","37577","0.0-4.0","D9CACF171B7942B1A7FBCB6CB5A648F7","01a095eb-bb66-7748-84f2-6f3eca669178","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","10250","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","38579","0.0-5.0","D9CACF171B7942B1A7FBCB6CB5A648F7","01a095eb-bb66-7748-84f2-6f3eca669178","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","44027","0.0-6.0","D9CACF171B7942B1A7FBCB6CB5A648F7","01a095eb-bb66-7748-84f2-6f3eca669178","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","5447","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","45030","0.0-7.0","D9CACF171B7942B1A7FBCB6CB5A648F7","01a095eb-bb66-7748-84f2-6f3eca669178","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","50611","0.0-8.0","D9CACF171B7942B1A7FBCB6CB5A648F7","01a095eb-bb66-7748-84f2-6f3eca669178","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","5579","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","51613","0.0-9.0","D9CACF171B7942B1A7FBCB6CB5A648F7","01a095eb-bb66-7748-84f2-6f3eca669178","01a095e2-a3c2-7ffa-8df1-e8515d218e33","CauseEffect_Value_Spreading_Pilot_ScrambledEncoding","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
