"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","lockout_ms","experiment","view_history","rt","stimulus","response","task","folder","role","pair_id","order","cell","correct_answer","correct","exposed_role","reward_condition","choice_id","repetition","test_type","comparison_role","spread_direction","critical_position","reward_pair_id","neutral_pair_id","reward_left","left_img","right_img","chose_reward","rt_after_lockout","cue_role","correct_index","rating"
"true","false","[]","[]","[]","preload","0","30277","0.0-0.0","D3DE68FE1D5E4C4F8DE6C0AD3B0D30FD","01a0cb24-229b-7b25-aa49-9b4038f465d6","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","73216","0.0-1.0","D3DE68FE1D5E4C4F8DE6C0AD3B0D30FD","01a0cb24-229b-7b25-aa49-9b4038f465d6","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","[{""page_index"":0,""viewing_time"":16547},{""page_index"":1,""viewing_time"":2351},{""page_index"":2,""viewing_time"":24040}]","42938","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","75607","0.0-2.0","D3DE68FE1D5E4C4F8DE6C0AD3B0D30FD","01a0cb24-229b-7b25-aa49-9b4038f465d6","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","","1375","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","86744","0.0-3.0","D3DE68FE1D5E4C4F8DE6C0AD3B0D30FD","01a0cb24-229b-7b25-aa49-9b4038f465d6","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","[{""page_index"":0,""viewing_time"":11136}]","11136","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","96504","0.0-4.0","D3DE68FE1D5E4C4F8DE6C0AD3B0D30FD","01a0cb24-229b-7b25-aa49-9b4038f465d6","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","","9759","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","97506","0.0-5.0","D3DE68FE1D5E4C4F8DE6C0AD3B0D30FD","01a0cb24-229b-7b25-aa49-9b4038f465d6","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","107233","0.0-6.0","D3DE68FE1D5E4C4F8DE6C0AD3B0D30FD","01a0cb24-229b-7b25-aa49-9b4038f465d6","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","","9726","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","108242","0.0-7.0","D3DE68FE1D5E4C4F8DE6C0AD3B0D30FD","01a0cb24-229b-7b25-aa49-9b4038f465d6","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","117441","0.0-8.0","D3DE68FE1D5E4C4F8DE6C0AD3B0D30FD","01a0cb24-229b-7b25-aa49-9b4038f465d6","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","","9197","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","118448","0.0-9.0","D3DE68FE1D5E4C4F8DE6C0AD3B0D30FD","01a0cb24-229b-7b25-aa49-9b4038f465d6","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
